surface	record	repeat	run	wall_us	process_cpu_us	mean_us	stddev_us	p95_us
S0	raw	0	42	4766.15	18543.4	NA	NA	NA
S0	raw	0	43	6300.42	18374.4	NA	NA	NA
S0	raw	0	44	4869.69	18881.4	NA	NA	NA
S0	raw	0	45	6289.96	18326.8	NA	NA	NA
S0	raw	0	46	4827.94	18720.5	NA	NA	NA
S0	raw	0	47	6419.55	18352.1	NA	NA	NA
S0	raw	0	48	4853.61	18824.7	NA	NA	NA
S0	raw	0	49	6421.26	18593.5	NA	NA	NA
S0	raw	0	50	4892.86	18970.4	NA	NA	NA
S0	raw	0	51	4888.82	19064.9	NA	NA	NA
S0	raw	0	52	4957.65	19322.5	NA	NA	NA
S0	raw	0	53	7483.1	19639.9	NA	NA	NA
S0	raw	0	54	6014.5	20019.3	NA	NA	NA
S0	raw	0	55	4770.82	18638.7	NA	NA	NA
S0	raw	0	56	7845.23	18344.6	NA	NA	NA
S0	raw	0	57	4904.44	19046.1	NA	NA	NA
S0	raw	0	58	8841.12	17921.4	NA	NA	NA
S0	raw	0	59	4922.11	19103	NA	NA	NA
S0	raw	0	60	4786.23	18681.9	NA	NA	NA
S0	raw	0	61	6379.05	18424.2	NA	NA	NA
S0	raw	0	62	4730.94	18404	NA	NA	NA
S0	raw	0	63	6441.84	18401.7	NA	NA	NA
S0	raw	0	64	4825.28	18848	NA	NA	NA
S0	raw	0	65	6389.09	18593.9	NA	NA	NA
S0	raw	0	66	4873.03	18907.9	NA	NA	NA
S0	raw	0	67	8771.75	17680.7	NA	NA	NA
S0	raw	0	68	4775.36	18655.5	NA	NA	NA
S0	raw	0	69	4878.69	18986	NA	NA	NA
S0	raw	0	70	6517.18	18409.2	NA	NA	NA
S0	raw	0	71	4876.23	18957.3	NA	NA	NA
S0	raw	0	72	6452.55	18667.3	NA	NA	NA
S0	raw	0	73	4866.19	18813.2	NA	NA	NA
S0	raw	0	74	4804.98	18826.9	NA	NA	NA
S0	raw	0	75	4943.19	19226.5	NA	NA	NA
S0	raw	0	76	4875.94	18916.9	NA	NA	NA
S0	raw	0	77	6438.09	18364.1	NA	NA	NA
S0	raw	0	78	4919.69	18731.7	NA	NA	NA
S0	raw	0	79	4858.69	18812.4	NA	NA	NA
S0	raw	0	80	4951.36	19149.7	NA	NA	NA
S0	raw	0	81	7407.19	18134.5	NA	NA	NA
S0	raw	0	82	4873.98	18763.5	NA	NA	NA
S0	raw	0	83	6441.8	18611.7	NA	NA	NA
S0	raw	0	84	4752.4	18634.6	NA	NA	NA
S0	raw	0	85	4761.27	18632.4	NA	NA	NA
S0	raw	0	86	4973.32	19059	NA	NA	NA
S0	raw	0	87	7724.07	18172	NA	NA	NA
S0	raw	0	88	4814.9	18735.3	NA	NA	NA
S0	raw	0	89	6482.05	18422	NA	NA	NA
S0	raw	0	90	4756.36	18546	NA	NA	NA
S0	raw	0	91	6483.59	18601.4	NA	NA	NA
S0	raw	0	92	4910.86	19062.6	NA	NA	NA
S0	raw	0	93	6384.8	18708	NA	NA	NA
S0	raw	0	94	4795.23	18449.2	NA	NA	NA
S0	raw	0	95	4828.57	18702.9	NA	NA	NA
S0	raw	0	96	5006.24	19102	NA	NA	NA
S0	raw	0	97	5002.03	19045.2	NA	NA	NA
S0	raw	0	98	4825.53	18614.8	NA	NA	NA
S0	raw	0	99	4942.86	18760.1	NA	NA	NA
S0	repeat_summary	0				5635.95	1186.88	8768.34
S0	raw	1	0	4791.61	18555.2	NA	NA	NA
S0	raw	1	1	4838.98	18511.6	NA	NA	NA
S0	raw	1	2	4821.82	18471.9	NA	NA	NA
S0	raw	1	3	4783.94	18641	NA	NA	NA
S0	raw	1	4	4880.48	18806.7	NA	NA	NA
S0	raw	1	5	4845.11	18948.3	NA	NA	NA
S0	raw	1	6	4838.94	18843.2	NA	NA	NA
S0	raw	1	7	6962.39	18838.7	NA	NA	NA
S0	raw	1	8	4894.57	18724	NA	NA	NA
S0	raw	1	9	4866.9	18857.1	NA	NA	NA
S0	raw	1	10	4867.78	18963.8	NA	NA	NA
S0	raw	1	11	4845.07	18846.1	NA	NA	NA
S0	raw	1	12	6200.75	18493.5	NA	NA	NA
S0	raw	1	13	4917.28	19078.2	NA	NA	NA
S0	raw	1	14	6173.17	18469.3	NA	NA	NA
S0	raw	1	15	4761.77	18541.9	NA	NA	NA
S0	raw	1	16	6470.72	18741.8	NA	NA	NA
S0	raw	1	17	4883.61	18943	NA	NA	NA
S0	raw	1	18	6246.84	18438.4	NA	NA	NA
S0	raw	1	19	4807.32	18694.6	NA	NA	NA
S0	raw	1	20	6469.42	18727.5	NA	NA	NA
S0	raw	1	21	4915.4	18929.6	NA	NA	NA
S0	raw	1	22	6277.8	18437.2	NA	NA	NA
S0	raw	1	23	4800.52	18586.3	NA	NA	NA
S0	raw	1	24	4872.94	19093.8	NA	NA	NA
S0	raw	1	25	4846.4	18907.3	NA	NA	NA
S0	raw	1	26	7624.65	18013.5	NA	NA	NA
S0	raw	1	27	4881.73	18943	NA	NA	NA
S0	raw	1	28	6315.05	18246.8	NA	NA	NA
S0	raw	1	29	4839.9	18833.8	NA	NA	NA
S0	raw	1	30	6387.55	18449.7	NA	NA	NA
S0	raw	1	31	4885.65	18931	NA	NA	NA
S0	raw	1	32	6370.8	18569.7	NA	NA	NA
S0	raw	1	33	4832.94	18838.7	NA	NA	NA
S0	raw	1	34	6226.42	18357.7	NA	NA	NA
S0	raw	1	35	4849.78	18817	NA	NA	NA
S0	raw	1	36	6399.42	18569	NA	NA	NA
S0	raw	1	37	4843.86	18827.2	NA	NA	NA
S0	raw	1	38	6402.05	18914.9	NA	NA	NA
S0	raw	1	39	4827.48	18778	NA	NA	NA
S0	raw	1	40	6252.17	18583.8	NA	NA	NA
S0	raw	1	41	4727.86	18529.2	NA	NA	NA
S0	raw	1	42	6321.46	18244.4	NA	NA	NA
S0	raw	1	43	4836.28	18811.8	NA	NA	NA
S0	raw	1	44	6537.05	18808.7	NA	NA	NA
S0	raw	1	45	4894.15	19032.4	NA	NA	NA
S0	raw	1	46	6288.05	18492.9	NA	NA	NA
S0	raw	1	47	4924.99	19028.4	NA	NA	NA
S0	raw	1	48	4742.9	18591.8	NA	NA	NA
S0	raw	1	49	4767.4	18599.5	NA	NA	NA
S0	raw	1	50	7760.9	18155.6	NA	NA	NA
S0	raw	1	51	4813.28	18562.9	NA	NA	NA
S0	raw	1	52	6595.38	18722.6	NA	NA	NA
S0	raw	1	53	4882.9	18866.2	NA	NA	NA
S0	raw	1	54	4837.61	18760.9	NA	NA	NA
S0	raw	1	55	4884.23	18685.6	NA	NA	NA
S0	raw	1	56	4894.86	19070.2	NA	NA	NA
S0	raw	1	57	4774.94	18512.4	NA	NA	NA
S0	raw	1	58	4986.44	19341.8	NA	NA	NA
S0	raw	1	59	7644.56	18340.1	NA	NA	NA
S0	raw	1	60	4905.19	19003.6	NA	NA	NA
S0	raw	1	61	6518.88	18803.5	NA	NA	NA
S0	raw	1	62	4778.36	18562.5	NA	NA	NA
S0	raw	1	63	6288.13	18466.9	NA	NA	NA
S0	raw	1	64	4901.82	18991.6	NA	NA	NA
S0	raw	1	65	6353.17	18791.9	NA	NA	NA
S0	raw	1	66	4777.61	18512.6	NA	NA	NA
S0	raw	1	67	6313.13	18653.7	NA	NA	NA
S0	raw	1	68	4858.73	18728.4	NA	NA	NA
S0	raw	1	69	6318.38	18588.7	NA	NA	NA
S0	raw	1	70	4816.07	18779.1	NA	NA	NA
S0	raw	1	71	6308.71	18309.3	NA	NA	NA
S0	raw	1	72	4900.36	18965.9	NA	NA	NA
S0	raw	1	73	8821.42	17770.7	NA	NA	NA
S0	raw	1	74	4890.61	18914.1	NA	NA	NA
S0	raw	1	75	4904.78	19020.4	NA	NA	NA
S0	raw	1	76	6514.84	18599.7	NA	NA	NA
S0	raw	1	77	4746.73	18473.6	NA	NA	NA
S0	raw	1	78	6467.38	18898.5	NA	NA	NA
S0	raw	1	79	4861.73	19004.2	NA	NA	NA
S0	raw	1	80	6199.25	18684	NA	NA	NA
S0	raw	1	81	4908.48	19049.2	NA	NA	NA
S0	raw	1	82	6494.26	18983.6	NA	NA	NA
S0	raw	1	83	4901.57	18945.1	NA	NA	NA
S0	raw	1	84	4775.15	18674.3	NA	NA	NA
S0	raw	1	85	4780.57	18587.5	NA	NA	NA
S0	raw	1	86	4800.98	18753	NA	NA	NA
S0	raw	1	87	6527.63	18632.9	NA	NA	NA
S0	raw	1	88	4858.48	18809.3	NA	NA	NA
S0	raw	1	89	8798.12	17737.1	NA	NA	NA
S0	raw	1	90	4855.19	18831.3	NA	NA	NA
S0	raw	1	91	4843.69	18789.8	NA	NA	NA
S0	raw	1	92	6570.26	18487.7	NA	NA	NA
S0	raw	1	93	4870.11	18918.1	NA	NA	NA
S0	raw	1	94	6338.51	18408.5	NA	NA	NA
S0	raw	1	95	4887.98	18960	NA	NA	NA
S0	raw	1	96	4810.61	18829.8	NA	NA	NA
S0	raw	1	97	4856.53	18881.9	NA	NA	NA
S0	raw	1	98	7716.19	18154.8	NA	NA	NA
S0	raw	1	99	4841.82	18631.5	NA	NA	NA
S0	repeat_summary	1				5518.18	971.367	7625.64
S0	raw	2	0	6353.88	18382.5	NA	NA	NA
S0	raw	2	1	4754.19	18505.2	NA	NA	NA
S0	raw	2	2	6457.01	18538.2	NA	NA	NA
S0	raw	2	3	4964.03	19173.6	NA	NA	NA
S0	raw	2	4	4866.23	18814.9	NA	NA	NA
S0	raw	2	5	5005.78	19385.8	NA	NA	NA
S0	raw	2	6	4885.23	18954.5	NA	NA	NA
S0	raw	2	7	4837.32	18708.7	NA	NA	NA
S0	raw	2	8	4780.94	18675.3	NA	NA	NA
S0	raw	2	9	4846.69	18863.4	NA	NA	NA
S0	raw	2	10	4769.32	18438.2	NA	NA	NA
S0	raw	2	11	4905.74	19130	NA	NA	NA
S0	raw	2	12	7784.52	18334	NA	NA	NA
S0	raw	2	13	4855.57	18998.6	NA	NA	NA
S0	raw	2	14	4889.86	18963.3	NA	NA	NA
S0	raw	2	15	8821.96	17784.7	NA	NA	NA
S0	raw	2	16	4904.86	19003	NA	NA	NA
S0	raw	2	17	4788.69	18630.1	NA	NA	NA
S0	raw	2	18	8847.92	17951.1	NA	NA	NA
S0	raw	2	19	4890.36	18709	NA	NA	NA
S0	raw	2	20	4919.44	19121.8	NA	NA	NA
S0	raw	2	21	5722.12	18951.2	NA	NA	NA
S0	raw	2	22	4836.86	18760.8	NA	NA	NA
S0	raw	2	23	4846.98	18901.7	NA	NA	NA
S0	raw	2	24	4792.23	18669.6	NA	NA	NA
S0	raw	2	25	7568.06	18007.2	NA	NA	NA
S0	raw	2	26	4869.53	18825.9	NA	NA	NA
S0	raw	2	27	4879.07	18925.9	NA	NA	NA
S0	raw	2	28	4783.27	18712.5	NA	NA	NA
S0	raw	2	29	4907.69	19000.5	NA	NA	NA
S0	raw	2	30	6745.89	18359.7	NA	NA	NA
S0	raw	2	31	4972.69	18974.5	NA	NA	NA
S0	raw	2	32	4966.82	18971.3	NA	NA	NA
S0	raw	2	33	4837.11	18778.8	NA	NA	NA
S0	raw	2	34	4772.73	18615.5	NA	NA	NA
S0	raw	2	35	6259.13	18673	NA	NA	NA
S0	raw	2	36	4822.48	18844.7	NA	NA	NA
S0	raw	2	37	6253.88	18483.2	NA	NA	NA
S0	raw	2	38	4860.03	18821.3	NA	NA	NA
S0	raw	2	39	6345.63	18489.5	NA	NA	NA
S0	raw	2	40	4874.23	18837.3	NA	NA	NA
S0	raw	2	41	6281.76	18454.1	NA	NA	NA
S0	raw	2	42	4927.69	18858.5	NA	NA	NA
S0	raw	2	43	6228	18430.5	NA	NA	NA
S0	raw	2	44	4750.73	18555.8	NA	NA	NA
S0	raw	2	45	6495.17	18691.3	NA	NA	NA
S0	raw	2	46	4967.03	19119.4	NA	NA	NA
S0	raw	2	47	6265.5	18749.4	NA	NA	NA
S0	raw	2	48	4831.78	18888.4	NA	NA	NA
S0	raw	2	49	6379.84	18619	NA	NA	NA
S0	raw	2	50	4887.07	18882.6	NA	NA	NA
S0	raw	2	51	4984.03	19413.4	NA	NA	NA
S0	raw	2	52	4771.11	18816.9	NA	NA	NA
S0	raw	2	53	4802.9	18756	NA	NA	NA
S0	raw	2	54	4815.86	18785.6	NA	NA	NA
S0	raw	2	55	4854.4	18880.5	NA	NA	NA
S0	raw	2	56	7878.9	18367.8	NA	NA	NA
S0	raw	2	57	4867.78	18987.4	NA	NA	NA
S0	raw	2	58	4896.53	19009.9	NA	NA	NA
S0	raw	2	59	8835.29	17976.9	NA	NA	NA
S0	raw	2	60	4875.94	18928.7	NA	NA	NA
S0	raw	2	61	6364.21	18287.7	NA	NA	NA
S0	raw	2	62	4811.94	18695.7	NA	NA	NA
S0	raw	2	63	6404.09	18374.3	NA	NA	NA
S0	raw	2	64	4853.98	18740.1	NA	NA	NA
S0	raw	2	65	6273.67	18373.8	NA	NA	NA
S0	raw	2	66	4808.9	18638.5	NA	NA	NA
S0	raw	2	67	6502.26	18841.7	NA	NA	NA
S0	raw	2	68	4919.4	19114.2	NA	NA	NA
S0	raw	2	69	6221.63	18698.1	NA	NA	NA
S0	raw	2	70	4877.53	18943	NA	NA	NA
S0	raw	2	71	6256.71	18433.8	NA	NA	NA
S0	raw	2	72	4961.4	19140.1	NA	NA	NA
S0	raw	2	73	6199.96	18584.2	NA	NA	NA
S0	raw	2	74	4788.57	18633.3	NA	NA	NA
S0	raw	2	75	6383.26	18746	NA	NA	NA
S0	raw	2	76	4970.61	19040.6	NA	NA	NA
S0	raw	2	77	6159.54	18545.3	NA	NA	NA
S0	raw	2	78	4896.65	18996.8	NA	NA	NA
S0	raw	2	79	6343.55	18774.4	NA	NA	NA
S0	raw	2	80	4907.07	19074.3	NA	NA	NA
S0	raw	2	81	6225.34	18673.6	NA	NA	NA
S0	raw	2	82	4916.78	19025.4	NA	NA	NA
S0	raw	2	83	6198.84	18309.7	NA	NA	NA
S0	raw	2	84	4760.19	18572.3	NA	NA	NA
S0	raw	2	85	6604.64	18747.8	NA	NA	NA
S0	raw	2	86	4784.82	18710.4	NA	NA	NA
S0	raw	2	87	6204.34	18445	NA	NA	NA
S0	raw	2	88	4855.73	18841.1	NA	NA	NA
S0	raw	2	89	6447.47	18881	NA	NA	NA
S0	raw	2	90	4783.78	18615.2	NA	NA	NA
S0	raw	2	91	6268.26	18320.8	NA	NA	NA
S0	raw	2	92	4813.4	18617.8	NA	NA	NA
S0	raw	2	93	6457.47	18579.8	NA	NA	NA
S0	raw	2	94	4757.27	18548.2	NA	NA	NA
S0	raw	2	95	6366.42	18535.9	NA	NA	NA
S0	raw	2	96	4833.19	18806	NA	NA	NA
S0	raw	2	97	6294.21	18472.5	NA	NA	NA
S0	raw	2	98	4830.23	18768	NA	NA	NA
S0	raw	2	99	6459.63	18644.1	NA	NA	NA
S0	repeat_summary	2				5534.1	989.155	7578.89
S0	raw	3	0	4845.69	18899.6	NA	NA	NA
S0	raw	3	1	6247.25	18692.2	NA	NA	NA
S0	raw	3	2	4896.82	18994.7	NA	NA	NA
S0	raw	3	3	6318.09	18644.1	NA	NA	NA
S0	raw	3	4	4849.78	18879.6	NA	NA	NA
S0	raw	3	5	6244.42	18316.2	NA	NA	NA
S0	raw	3	6	4812.61	18754.3	NA	NA	NA
S0	raw	3	7	4866.69	18993.8	NA	NA	NA
S0	raw	3	8	4946.99	19224.8	NA	NA	NA
S0	raw	3	9	7748.86	18231.9	NA	NA	NA
S0	raw	3	10	4875.78	19025.4	NA	NA	NA
S0	raw	3	11	6284.5	18368.2	NA	NA	NA
S0	raw	3	12	4848.57	18853.9	NA	NA	NA
S0	raw	3	13	4788.19	18569.5	NA	NA	NA
S0	raw	3	14	4866.9	18897.6	NA	NA	NA
S0	raw	3	15	7795.86	18134.9	NA	NA	NA
S0	raw	3	16	4978.99	19109	NA	NA	NA
S0	raw	3	17	6337.38	18605.9	NA	NA	NA
S0	raw	3	18	4905.36	19088.8	NA	NA	NA
S0	raw	3	19	6286.3	18833	NA	NA	NA
S0	raw	3	20	4890.94	18960.7	NA	NA	NA
S0	raw	3	21	6325.17	18721.1	NA	NA	NA
S0	raw	3	22	4782.52	18660.8	NA	NA	NA
S0	raw	3	23	6330.67	18636.8	NA	NA	NA
S0	raw	3	24	4894.61	19015.8	NA	NA	NA
S0	raw	3	25	6215.8	18317.4	NA	NA	NA
S0	raw	3	26	4827.98	18813.5	NA	NA	NA
S0	raw	3	27	6472.3	18715	NA	NA	NA
S0	raw	3	28	4895.49	19025.8	NA	NA	NA
S0	raw	3	29	6237.34	18698.3	NA	NA	NA
S0	raw	3	30	4902.15	19059.8	NA	NA	NA
S0	raw	3	31	6323.21	18867.5	NA	NA	NA
S0	raw	3	32	4850.32	18808.2	NA	NA	NA
S0	raw	3	33	6382.72	18813.8	NA	NA	NA
S0	raw	3	34	4893.53	19018	NA	NA	NA
S0	raw	3	35	6209.17	18609.5	NA	NA	NA
S0	raw	3	36	4778.23	18654.8	NA	NA	NA
S0	raw	3	37	6311.63	18437.5	NA	NA	NA
S0	raw	3	38	4733.9	18611.6	NA	NA	NA
S0	raw	3	39	4717.86	18570.7	NA	NA	NA
S0	raw	3	40	4851.57	19021	NA	NA	NA
S0	raw	3	41	4927.15	19147	NA	NA	NA
S0	raw	3	42	6723.47	18535.2	NA	NA	NA
S0	raw	3	43	4818.65	18751.2	NA	NA	NA
S0	raw	3	44	6471.13	18968.8	NA	NA	NA
S0	raw	3	45	4854.94	18899.6	NA	NA	NA
S0	raw	3	46	6265.42	18445	NA	NA	NA
S0	raw	3	47	4972.03	18826.1	NA	NA	NA
S0	raw	3	48	4942.49	19109.1	NA	NA	NA
S0	raw	3	49	4738.61	18669.7	NA	NA	NA
S0	raw	3	50	4844.19	18924.8	NA	NA	NA
S0	raw	3	51	6365.38	18624	NA	NA	NA
S0	raw	3	52	4895.65	18836.1	NA	NA	NA
S0	raw	3	53	6200.05	18490.2	NA	NA	NA
S0	raw	3	54	4709.9	18503.5	NA	NA	NA
S0	raw	3	55	4887.78	18760.2	NA	NA	NA
S0	raw	3	56	8862.71	17867.5	NA	NA	NA
S0	raw	3	57	4923.11	19123.4	NA	NA	NA
S0	raw	3	58	4920.9	19142.5	NA	NA	NA
S0	raw	3	59	8960.04	17980.3	NA	NA	NA
S0	raw	3	60	4943.78	19101	NA	NA	NA
S0	raw	3	61	4804.65	18752.7	NA	NA	NA
S0	raw	3	62	5389.7	18974.9	NA	NA	NA
S0	raw	3	63	4866.32	18836	NA	NA	NA
S0	raw	3	64	8848.04	17928.1	NA	NA	NA
S0	raw	3	65	4952.36	19246.8	NA	NA	NA
S0	raw	3	66	4889.11	18991.1	NA	NA	NA
S0	raw	3	67	6239.55	18449.1	NA	NA	NA
S0	raw	3	68	4836.28	18879.5	NA	NA	NA
S0	raw	3	69	6385.92	18698.6	NA	NA	NA
S0	raw	3	70	4826.9	18758.8	NA	NA	NA
S0	raw	3	71	4838.4	18855.5	NA	NA	NA
S0	raw	3	72	4947.32	19234.2	NA	NA	NA
S0	raw	3	73	7606.02	18020.8	NA	NA	NA
S0	raw	3	74	4808.86	18769.4	NA	NA	NA
S0	raw	3	75	6541.97	18703.6	NA	NA	NA
S0	raw	3	76	4850.86	18954.2	NA	NA	NA
S0	raw	3	77	6262.3	18455.3	NA	NA	NA
S0	raw	3	78	4750.32	18498.5	NA	NA	NA
S0	raw	3	79	6430.34	18479.5	NA	NA	NA
S0	raw	3	80	4825.32	18840.6	NA	NA	NA
S0	raw	3	81	6295.67	18226.1	NA	NA	NA
S0	raw	3	82	4881.44	18950.1	NA	NA	NA
S0	raw	3	83	4874.07	19039.8	NA	NA	NA
S0	raw	3	84	4845.78	18629	NA	NA	NA
S0	raw	3	85	7729.19	18112.6	NA	NA	NA
S0	raw	3	86	4842.15	18752.4	NA	NA	NA
S0	raw	3	87	4866.57	18909.3	NA	NA	NA
S0	raw	3	88	4751.19	18652.8	NA	NA	NA
S0	raw	3	89	4775.48	18667.5	NA	NA	NA
S0	raw	3	90	4785.73	18658.2	NA	NA	NA
S0	raw	3	91	5775.79	19109.5	NA	NA	NA
S0	raw	3	92	7529.48	21646.4	NA	NA	NA
S0	raw	3	93	4843.15	18907.5	NA	NA	NA
S0	raw	3	94	8887.71	17808.1	NA	NA	NA
S0	raw	3	95	4888.61	18985.7	NA	NA	NA
S0	raw	3	96	4848.65	18978.1	NA	NA	NA
S0	raw	3	97	6098.96	18311.8	NA	NA	NA
S0	raw	3	98	4804.82	18767	NA	NA	NA
S0	raw	3	99	4909.23	19022.8	NA	NA	NA
S0	repeat_summary	3				5569.34	1074.52	7751.21
S0	raw	4	0	8852.08	17810.2	NA	NA	NA
S0	raw	4	1	4906.32	19008.8	NA	NA	NA
S0	raw	4	2	4782.15	18534.1	NA	NA	NA
S0	raw	4	3	8919.5	17877.9	NA	NA	NA
S0	raw	4	4	4828.32	18733.3	NA	NA	NA
S0	raw	4	5	4838.15	18925.9	NA	NA	NA
S0	raw	4	6	5429.08	18589	NA	NA	NA
S0	raw	4	7	4845.69	18923	NA	NA	NA
S0	raw	4	8	6520.3	18417.1	NA	NA	NA
S0	raw	4	9	4866.69	18877.3	NA	NA	NA
S0	raw	4	10	4764.65	18601.6	NA	NA	NA
S0	raw	4	11	4981.86	19193.6	NA	NA	NA
S0	raw	4	12	7359.73	18085.8	NA	NA	NA
S0	raw	4	13	4849.32	18921	NA	NA	NA
S0	raw	4	14	4942.49	19105.5	NA	NA	NA
S0	raw	4	15	8891.17	18098.8	NA	NA	NA
S0	raw	4	16	4800.19	18631.2	NA	NA	NA
S0	raw	4	17	4769.36	18601.4	NA	NA	NA
S0	raw	4	18	5333.66	18462.2	NA	NA	NA
S0	raw	4	19	4748.9	18655.3	NA	NA	NA
S0	raw	4	20	4912.07	19041.2	NA	NA	NA
S0	raw	4	21	8811.08	17800.3	NA	NA	NA
S0	raw	4	22	4866.61	18870.3	NA	NA	NA
S0	raw	4	23	4901.11	19033.7	NA	NA	NA
S0	raw	4	24	4930.07	19085.2	NA	NA	NA
S0	raw	4	25	7898.28	18205.4	NA	NA	NA
S0	raw	4	26	4823.69	18650.9	NA	NA	NA
S0	raw	4	27	4902.15	19007.6	NA	NA	NA
S0	raw	4	28	8787.16	17826.8	NA	NA	NA
S0	raw	4	29	4929.69	19058.9	NA	NA	NA
S0	raw	4	30	4907.94	18927.8	NA	NA	NA
S0	raw	4	31	5310.91	18656.7	NA	NA	NA
S0	raw	4	32	4911.53	18996.6	NA	NA	NA
S0	raw	4	33	6270.38	18767	NA	NA	NA
S0	raw	4	34	4952.65	19126.9	NA	NA	NA
S0	raw	4	35	6135.46	18517.5	NA	NA	NA
S0	raw	4	36	4770.69	18627.1	NA	NA	NA
S0	raw	4	37	6472.26	18618	NA	NA	NA
S0	raw	4	38	4837.48	18728	NA	NA	NA
S0	raw	4	39	6277.96	18480.8	NA	NA	NA
S0	raw	4	40	4833.19	18854	NA	NA	NA
S0	raw	4	41	6397.26	18545.6	NA	NA	NA
S0	raw	4	42	4859.4	18961	NA	NA	NA
S0	raw	4	43	6316.55	18515	NA	NA	NA
S0	raw	4	44	4791.82	18646.4	NA	NA	NA
S0	raw	4	45	4850.9	18843.5	NA	NA	NA
S0	raw	4	46	8831.21	17774.4	NA	NA	NA
S0	raw	4	47	4869.98	18922.5	NA	NA	NA
S0	raw	4	48	4828.07	18626.1	NA	NA	NA
S0	raw	4	49	4906.28	19026.2	NA	NA	NA
S0	raw	4	50	7966.57	18213.4	NA	NA	NA
S0	raw	4	51	4835.65	18702.4	NA	NA	NA
S0	raw	4	52	6425.05	18520.3	NA	NA	NA
S0	raw	4	53	4951.03	19036.2	NA	NA	NA
S0	raw	4	54	8833.5	17834.7	NA	NA	NA
S0	raw	4	55	4881.73	18994.4	NA	NA	NA
S0	raw	4	56	4803.32	18681.6	NA	NA	NA
S0	raw	4	57	6470.47	18605.9	NA	NA	NA
S0	raw	4	58	4838.78	18830.9	NA	NA	NA
S0	raw	4	59	6372.51	18549.6	NA	NA	NA
S0	raw	4	60	4760.82	18624.6	NA	NA	NA
S0	raw	4	61	4908.74	19089.2	NA	NA	NA
S0	raw	4	62	8860.54	17806.4	NA	NA	NA
S0	raw	4	63	4859.48	18819.9	NA	NA	NA
S0	raw	4	64	4844.36	18820.9	NA	NA	NA
S0	raw	4	65	4866.73	18860	NA	NA	NA
S0	raw	4	66	8010.7	18488.8	NA	NA	NA
S0	raw	4	67	4855.03	18747.1	NA	NA	NA
S0	raw	4	68	4926.61	19136.8	NA	NA	NA
S0	raw	4	69	8819.29	17880.3	NA	NA	NA
S0	raw	4	70	4878.32	18850.5	NA	NA	NA
S0	raw	4	71	8803.37	17748.2	NA	NA	NA
S0	raw	4	72	4959.99	19036.7	NA	NA	NA
S0	raw	4	73	4777.07	18589.9	NA	NA	NA
S0	raw	4	74	6602.51	18319.9	NA	NA	NA
S0	raw	4	75	4808.98	18772.2	NA	NA	NA
S0	raw	4	76	6390.55	18624.9	NA	NA	NA
S0	raw	4	77	4751.07	18645.8	NA	NA	NA
S0	raw	4	78	4767.52	18627.5	NA	NA	NA
S0	raw	4	79	8977.33	18062.6	NA	NA	NA
