pair	metric	replicates	seed	draw_matrix_sha256	point_delta	bootstrap_mean	bootstrap_median	percentile_2_5	percentile_97_5	probability_gt_zero	probability_lt_zero	probability_ge_minus_0_005
C2_CPU-vs-B2_CPU	map50_95	10000	65010	6fc033562e5a123ea0f7b90eb1ab4986eb95e38eb140e151f9bff5610992ccd2	0.009849246451143712	0.010897687349408896	0.010651834046900704	0.006163438265637788	0.01691790199041958	1.0	0.0	1.0
C2_CPU-vs-B2_CPU	map50	10000	65010	6fc033562e5a123ea0f7b90eb1ab4986eb95e38eb140e151f9bff5610992ccd2	0.006689081828800902	0.007207463652102571	0.0068434896044877735	0.0022042090010568477	0.01408083835540247	0.9955	0.0045	1.0
C2_CPU-vs-B2_CPU	map75	10000	65010	6fc033562e5a123ea0f7b90eb1ab4986eb95e38eb140e151f9bff5610992ccd2	0.01011405661034398	0.010271557487093762	0.010001780746385358	0.004599016279948918	0.017558901839899298	0.9993	0.0007	1.0
C2_CPU-vs-B2_CPU	ap_small	10000	65010	6fc033562e5a123ea0f7b90eb1ab4986eb95e38eb140e151f9bff5610992ccd2	-0.001724100318354238	-0.0010900143409974486	-0.0009468950068154541	-0.0038633735563107685	0.0011840755697587531	0.2161	0.7839	0.9972
C2_CPU-vs-B2_CPU	ap_medium	10000	65010	6fc033562e5a123ea0f7b90eb1ab4986eb95e38eb140e151f9bff5610992ccd2	0.0028173890120135603	0.000660223190969338	0.000750157776257615	-0.0077544834896340845	0.008664851072678087	0.5645	0.4355	0.9063
C2_CPU-vs-B2_CPU	ap_large	10000	65010	6fc033562e5a123ea0f7b90eb1ab4986eb95e38eb140e151f9bff5610992ccd2	0.021313283847488318	0.02456822805518031	0.024226861975822966	0.013114698544694579	0.03755813531443591	0.9999	0.0001	1.0
C2_CPU-vs-B2_CPU	ar1	10000	65010	6fc033562e5a123ea0f7b90eb1ab4986eb95e38eb140e151f9bff5610992ccd2	0.0005371017625684926	2.7253267705666755e-05	0.00043147930861764383	-0.007902836364976892	0.005225201197348938	0.5496	0.4504	0.9286
C2_CPU-vs-B2_CPU	ar10	10000	65010	6fc033562e5a123ea0f7b90eb1ab4986eb95e38eb140e151f9bff5610992ccd2	-0.0006034711826958805	-0.0007378100793058006	-0.0006947185207830109	-0.0025709083931892253	0.0009037546284222234	0.2066	0.7934	0.9999
C2_CPU-vs-B2_CPU	ar100	10000	65010	6fc033562e5a123ea0f7b90eb1ab4986eb95e38eb140e151f9bff5610992ccd2	-0.001544147507424265	-0.0016490524470003103	-0.0015228122431351632	-0.0039656881556626	-0.00016175994951903597	0.0122	0.9878	0.9943
C2_CPU-vs-B2_CPU	ar_small	10000	65010	6fc033562e5a123ea0f7b90eb1ab4986eb95e38eb140e151f9bff5610992ccd2	-0.00280971264941543	-0.003020544548536684	-0.0027512850685910972	-0.009088784377310605	0.0005758688730462716	0.1061	0.8939	0.7868
C2_CPU-vs-B2_CPU	ar_medium	10000	65010	6fc033562e5a123ea0f7b90eb1ab4986eb95e38eb140e151f9bff5610992ccd2	-0.00015797874574696724	-0.00021152807047675832	-0.000142058216940244	-0.0013119346799445818	7.937193207563917e-05	0.3134	0.6364	1.0
C2_CPU-vs-B2_CPU	ar_large	10000	65010	6fc033562e5a123ea0f7b90eb1ab4986eb95e38eb140e151f9bff5610992ccd2	-0.0013092190317421926	-0.0013656588997718012	-0.0013194297336222016	-0.003114151154934244	0.00010898031567193312	0.0402	0.9598	0.9994
C2_CPU-vs-B2_CPU	prediction_count	10000	65010	6fc033562e5a123ea0f7b90eb1ab4986eb95e38eb140e151f9bff5610992ccd2	-1323.0	-1322.9029	-1322.0	-1457.0	-1193.0	0.0	1.0	0.0
C2_EP-vs-C2_CPU	map50_95	10000	65010	6fc033562e5a123ea0f7b90eb1ab4986eb95e38eb140e151f9bff5610992ccd2	-0.0031442433705670125	-0.002599355300357761	-0.0025718541009848994	-0.008196266097166442	0.0029162296819929307	0.1723	0.8277	0.806
C2_EP-vs-C2_CPU	map50	10000	65010	6fc033562e5a123ea0f7b90eb1ab4986eb95e38eb140e151f9bff5610992ccd2	-0.0008467571907312399	-0.0008347661152127122	-0.0009570086715429693	-0.008310169950824208	0.007285367921742608	0.402	0.598	0.8579
C2_EP-vs-C2_CPU	map75	10000	65010	6fc033562e5a123ea0f7b90eb1ab4986eb95e38eb140e151f9bff5610992ccd2	-0.0004141464164155173	0.0008979262699412555	0.0008372932228268293	-0.007327062849693061	0.009323609564912601	0.5808	0.4192	0.9198
C2_EP-vs-C2_CPU	ap_small	10000	65010	6fc033562e5a123ea0f7b90eb1ab4986eb95e38eb140e151f9bff5610992ccd2	-0.0030231128622350556	-0.002410506681864286	-0.002547780117468229	-0.00884581086536608	0.004591350911660624	0.2313	0.7687	0.7736
C2_EP-vs-C2_CPU	ap_medium	10000	65010	6fc033562e5a123ea0f7b90eb1ab4986eb95e38eb140e151f9bff5610992ccd2	0.003745156886406309	0.0027209223275958695	0.002727352429598484	-0.0072428992355330095	0.012800620502083476	0.7092	0.2908	0.9374
C2_EP-vs-C2_CPU	ap_large	10000	65010	6fc033562e5a123ea0f7b90eb1ab4986eb95e38eb140e151f9bff5610992ccd2	-0.010002015826747757	-0.0073337369500779265	-0.007114629619523194	-0.020425943358921967	0.004606525509294256	0.1191	0.8809	0.36
C2_EP-vs-C2_CPU	ar1	10000	65010	6fc033562e5a123ea0f7b90eb1ab4986eb95e38eb140e151f9bff5610992ccd2	-0.0017131450135776105	-0.0014143789447908536	-0.001204436210937715	-0.009425085961170835	0.005270991887509129	0.3637	0.6363	0.8422
C2_EP-vs-C2_CPU	ar10	10000	65010	6fc033562e5a123ea0f7b90eb1ab4986eb95e38eb140e151f9bff5610992ccd2	-0.006067176982417655	-0.005903176243305707	-0.00591936932706616	-0.011912653672149822	-0.00023394929383283044	0.02	0.98	0.3836
C2_EP-vs-C2_CPU	ar100	10000	65010	6fc033562e5a123ea0f7b90eb1ab4986eb95e38eb140e151f9bff5610992ccd2	-0.002666879810601208	-0.002618325064778584	-0.0026409710939185316	-0.007599822520040331	0.002456936762989195	0.1531	0.8469	0.8232
C2_EP-vs-C2_CPU	ar_small	10000	65010	6fc033562e5a123ea0f7b90eb1ab4986eb95e38eb140e151f9bff5610992ccd2	0.003509889612668682	0.001182923016771657	0.0017242087714303411	-0.01011570100400801	0.011021998767382662	0.6034	0.3966	0.8471
C2_EP-vs-C2_CPU	ar_medium	10000	65010	6fc033562e5a123ea0f7b90eb1ab4986eb95e38eb140e151f9bff5610992ccd2	0.0003867529065200159	-0.0008301062273075192	-0.0006739714835721222	-0.009817337831063455	0.007713106250125513	0.4389	0.5611	0.8252
C2_EP-vs-C2_CPU	ar_large	10000	65010	6fc033562e5a123ea0f7b90eb1ab4986eb95e38eb140e151f9bff5610992ccd2	-0.0036828678072873267	-0.006264901034751513	-0.0058851118450603535	-0.02456501120716287	0.009302971857284134	0.2747	0.7253	0.4646
C2_EP-vs-C2_CPU	prediction_count	10000	65010	6fc033562e5a123ea0f7b90eb1ab4986eb95e38eb140e151f9bff5610992ccd2	-548.0	-547.5787	-546.0	-828.0	-270.0	0.0	1.0	0.0
B2_EP-vs-B2_CPU	map50_95	10000	65010	6fc033562e5a123ea0f7b90eb1ab4986eb95e38eb140e151f9bff5610992ccd2	-0.0008432750533723388	-0.0004916951166293561	-0.00046425084026230357	-0.00634923835236664	0.005274453904611809	0.4333	0.5667	0.938
B2_EP-vs-B2_CPU	map50	10000	65010	6fc033562e5a123ea0f7b90eb1ab4986eb95e38eb140e151f9bff5610992ccd2	0.0019394873909843735	0.0019848811790257807	0.0019006997096760458	-0.006108768227633598	0.010850428128301918	0.6764	0.3236	0.9576
B2_EP-vs-B2_CPU	map75	10000	65010	6fc033562e5a123ea0f7b90eb1ab4986eb95e38eb140e151f9bff5610992ccd2	0.0031114322801007455	0.003544365971254954	0.003438017295879836	-0.005251669662866632	0.012457450127344128	0.7892	0.2108	0.9712
B2_EP-vs-B2_CPU	ap_small	10000	65010	6fc033562e5a123ea0f7b90eb1ab4986eb95e38eb140e151f9bff5610992ccd2	-0.0038839312679210813	-0.0030119063694766315	-0.0031269943105495385	-0.00922417726585255	0.0037975776432973857	0.1773	0.8227	0.719
B2_EP-vs-B2_CPU	ap_medium	10000	65010	6fc033562e5a123ea0f7b90eb1ab4986eb95e38eb140e151f9bff5610992ccd2	0.0034323115827675776	-0.0004616324394314688	-0.00044205440446692945	-0.011943035678987825	0.010871126413261989	0.4713	0.5287	0.788
B2_EP-vs-B2_CPU	ap_large	10000	65010	6fc033562e5a123ea0f7b90eb1ab4986eb95e38eb140e151f9bff5610992ccd2	-0.006843597158209369	-0.004002658720552104	-0.003936018542168074	-0.016696890020090747	0.007946335979585245	0.2607	0.7393	0.5699
B2_EP-vs-B2_CPU	ar1	10000	65010	6fc033562e5a123ea0f7b90eb1ab4986eb95e38eb140e151f9bff5610992ccd2	-0.0025045418727593916	-0.002332899428377731	-0.001987692954259518	-0.012215207108591404	0.005636628389825256	0.3255	0.6745	0.7404
B2_EP-vs-B2_CPU	ar10	10000	65010	6fc033562e5a123ea0f7b90eb1ab4986eb95e38eb140e151f9bff5610992ccd2	-0.003976967906047513	-0.003938472276126022	-0.003897400175425114	-0.010126060178333392	0.002093477797068584	0.1013	0.8987	0.6375
B2_EP-vs-B2_CPU	ar100	10000	65010	6fc033562e5a123ea0f7b90eb1ab4986eb95e38eb140e151f9bff5610992ccd2	-0.0031478745485742365	-0.00297355079826701	-0.0029732392087085113	-0.007927205136592758	0.0018779016048965332	0.1229	0.8771	0.7867
B2_EP-vs-B2_CPU	ar_small	10000	65010	6fc033562e5a123ea0f7b90eb1ab4986eb95e38eb140e151f9bff5610992ccd2	0.0007527269611017906	-0.0016282994162980238	-0.0012412264982154253	-0.01427027263993156	0.00967406149873288	0.4261	0.5739	0.7012
B2_EP-vs-B2_CPU	ar_medium	10000	65010	6fc033562e5a123ea0f7b90eb1ab4986eb95e38eb140e151f9bff5610992ccd2	0.0019082792441028618	0.0013863576282643823	0.0014519064910903934	-0.006603128187698961	0.009121838731346322	0.6371	0.3629	0.9415
B2_EP-vs-B2_CPU	ar_large	10000	65010	6fc033562e5a123ea0f7b90eb1ab4986eb95e38eb140e151f9bff5610992ccd2	-0.0033827443840988014	-0.005867132539370245	-0.005448955045443682	-0.024360170270000633	0.009804918070422587	0.2884	0.7116	0.4831
B2_EP-vs-B2_CPU	prediction_count	10000	65010	6fc033562e5a123ea0f7b90eb1ab4986eb95e38eb140e151f9bff5610992ccd2	-60.0	-59.529	-60.0	-342.025	221.0	0.3327	0.6631	0.3369
