phase	block	slot	model	provider	metric	samples	mean_us	stddev_us	cv_pct	median_us	p90_us	p95_us	p99_us	p999_us	min_us	max_us	resource_samples	steady_resource_samples	terminal_samples_excluded	rss_startup_first_kib	rss_min_kib	rss_max_kib	hwm_max_kib	fds_min	fds_max	threads_min	threads_max
noise_b2	1	1	B2	spacemit	tail	100	14821.41428	300.309025282496	2.0261833291289393	14671.912499999999	15312.599000000002	15435.375199999999	15629.670860000002	15740.231485999999	14498.2	15752.516	47	16	1	1536	88540	88540	88540	4	4	11	11
noise_b2	1	1	B2	spacemit	two_stage	100	115273.05171	1875.438896163292	1.626953453857938	114709.614	117601.3072	118850.99045	119897.96818000003	121891.95311799999	112810.663	122113.507	47	16	1	1536	88540	88540	88540	4	4	11	11
noise_b2	1	2	B2	spacemit	inference	100	100188.1825	1661.1828145797624	1.6580626308694266	99761.3035	102445.77939999998	102791.96375	104446.91653000002	106872.711253	98119.189	107142.244	47	16	1	1408	88412	88412	88412	4	4	11	11
noise_b2	1	2	B2	spacemit	tail	100	14864.796110000001	322.17042792439497	2.167338357958782	14708.2015	15329.5682	15416.651549999999	15762.576530000002	16206.341752999997	14577.282	16255.649	47	16	1	1408	88412	88412	88412	4	4	11	11
noise_b2	1	2	B2	spacemit	two_stage	100	115052.97860999999	1771.53475842079	1.5397556671921004	114787.7615	117265.04890000001	117526.83725	120687.02606	121728.25400599999	112707.05	121843.946	47	16	1	1408	88412	88412	88412	4	4	11	11
noise_b2	1	3	B2	spacemit	inference	100	100235.80119999999	1664.5880239130242	1.6606721390810057	99749.6255	102272.4817	103020.8454	103774.7241	106130.26971	97931.173	106391.997	47	16	1	1536	88412	88412	88412	4	4	11	11
noise_b2	1	3	B2	spacemit	tail	100	14863.435120000002	326.5113148644171	2.196741952505102	14705.386999999999	15393.378200000001	15475.52435	15560.425520000004	16046.957851999998	14509.07	16101.017	47	16	1	1536	88412	88412	88412	4	4	11	11
noise_b2	1	3	B2	spacemit	two_stage	100	115099.23632	1757.4393609550625	1.5268905486644697	114843.8085	117212.9634	118282.81999999999	119129.82142000001	121119.46184199999	112440.243	121340.533	47	16	1	1536	88412	88412	88412	4	4	11	11
noise_b2	2	0	B2	spacemit	inference	100	100591.91372	1753.786343890322	1.7434665263174418	100085.44	103029.1712	103448.8661	105209.89531	105920.40633099999	98417.239	105999.352	47	16	1	1408	88412	88412	88412	4	4	11	11
noise_b2	2	0	B2	spacemit	tail	100	14878.10827	363.11436415681385	2.4405949840343095	14690.0715	15378.2465	15517.1503	15815.436210000003	16466.063120999996	14530.067	16538.355	47	16	1	1408	88412	88412	88412	4	4	11	11
noise_b2	2	0	B2	spacemit	two_stage	100	115470.02199	1798.6886727227875	1.5577105137111333	115119.02	117740.144	118073.8296	120449.92410999999	120635.88561099999	112976.765	120656.548	47	16	1	1408	88412	88412	88412	4	4	11	11
noise_b2	2	1	B2	spacemit	inference	100	100897.54929	2842.3470191849947	2.817062494764381	99895.924	103694.26960000001	107850.58085	110235.98192	111014.17419199999	97815.382	111100.64	48	17	1	768	88280	88280	88280	4	4	11	11
noise_b2	2	1	B2	spacemit	tail	100	14827.148389999998	342.5470281738337	2.3102691034296297	14658.192500000001	15353.1893	15420.996650000001	15568.791650000001	15895.311964999999	14457.772	15931.592	48	17	1	768	88280	88280	88280	4	4	11	11
noise_b2	2	1	B2	spacemit	two_stage	100	115724.69768	2921.0082899448985	2.5241010333179026	114900.723	118250.97340000002	122691.59615000001	125457.54840999999	126305.727841	112410.615	126399.97	48	17	1	768	88280	88280	88280	4	4	11	11
