surface	model	scope	provider	score_threshold	iou_threshold	max_dets	area	tp	fp	fn	precision	recall	f1	detections	detections_per_image	ignored_detections	ignored_ground_truths
FP32_HOST	FP32	host	CPU	0.01	0.5	300	large	8152	30847	527	0.20903100079489217	0.9392787187463993	0.34196065271194265	198333	39.6666	159334	28102
FP32_HOST	FP32	host	CPU	0.01	0.75	300	large	7487	32075	1192	0.18924725746928872	0.8626569881322733	0.31039986733276675	198333	39.6666	158771	28102
FP32_HOST	FP32	host	CPU	0.05	0.5	300	large	7734	9509	945	0.44852983819520964	0.8911164880746629	0.5967132165727953	62002	12.4004	44759	28102
FP32_HOST	FP32	host	CPU	0.05	0.75	300	large	7028	10642	1651	0.39773627617430674	0.8097707109113953	0.5334547800675548	62002	12.4004	44332	28102
FP32_HOST	FP32	host	CPU	0.25	0.5	300	large	6945	2147	1734	0.7638583369995601	0.8002073971655721	0.7816104889989309	23008	4.6016	13916	28102
FP32_HOST	FP32	host	CPU	0.25	0.75	300	large	6320	3057	2359	0.6739895488962355	0.7281944924530476	0.7000443066016837	23008	4.6016	13631	28102
FP32_HOST	FP32	host	CPU	0.5	0.5	300	large	6033	669	2646	0.9001790510295434	0.6951261666090564	0.784474351472596	14238	2.8476	7536	28102
FP32_HOST	FP32	host	CPU	0.5	0.75	300	large	5573	1307	3106	0.8100290697674418	0.6421246687406383	0.7163699466546695	14238	2.8476	7358	28102
FP32_HOST	FP32	host	CPU	0.001	0.5	300	medium	11463	228437	929	0.047782409337223844	0.9250322788896062	0.09087089562887447	732374	146.4748	492474	24389
FP32_HOST	FP32	host	CPU	0.001	0.75	300	medium	9641	231452	2751	0.03998871804656295	0.7780019367333764	0.07606761741325918	732374	146.4748	491281	24389
FP32_HOST	FP32	host	CPU	0.01	0.5	300	medium	10740	53341	1652	0.1676003807680904	0.8666881859264042	0.2808834490604527	198333	39.6666	134252	24389
