surface	model	scope	provider	score_threshold	iou_threshold	max_dets	area	category_id	class_name	tp	fp	fn	precision	recall	f1	detections	detections_per_image	ignored_detections	ignored_ground_truths
FP32_HOST	FP32	host	CPU	0.01	0.75	100	medium	4	motorcycle	83	681	55	0.10863874345549739	0.6014492753623188	0.18403547671840353	1852	0.3704	1088	233
FP32_HOST	FP32	host	CPU	0.05	0.5	100	medium	4	motorcycle	103	130	35	0.44206008583690987	0.7463768115942029	0.555256064690027	599	0.1198	366	233
FP32_HOST	FP32	host	CPU	0.05	0.75	100	medium	4	motorcycle	65	165	73	0.2826086956521739	0.47101449275362317	0.3532608695652173	599	0.1198	369	233
FP32_HOST	FP32	host	CPU	0.25	0.5	100	medium	4	motorcycle	72	12	66	0.8571428571428571	0.5217391304347826	0.6486486486486486	236	0.0472	152	233
FP32_HOST	FP32	host	CPU	0.25	0.75	100	medium	4	motorcycle	53	29	85	0.6463414634146342	0.38405797101449274	0.4818181818181818	236	0.0472	154	233
FP32_HOST	FP32	host	CPU	0.5	0.5	100	medium	4	motorcycle	45	5	93	0.9	0.32608695652173914	0.4787234042553192	153	0.0306	103	233
FP32_HOST	FP32	host	CPU	0.5	0.75	100	medium	4	motorcycle	37	9	101	0.8043478260869565	0.26811594202898553	0.40217391304347827	153	0.0306	107	233
FP32_HOST	FP32	host	CPU	0.001	0.5	100	small	4	motorcycle	61	1715	30	0.03434684684684685	0.6703296703296703	0.06534547402249599	6004	1.2008	4228	280
FP32_HOST	FP32	host	CPU	0.001	0.75	100	small	4	motorcycle	32	1727	59	0.018192154633314382	0.3516483516483517	0.034594594594594595	6004	1.2008	4245	280
FP32_HOST	FP32	host	CPU	0.01	0.5	100	small	4	motorcycle	51	359	40	0.12439024390243902	0.5604395604395604	0.20359281437125748	1852	0.3704	1442	280
FP32_HOST	FP32	host	CPU	0.01	0.75	100	small	4	motorcycle	29	364	62	0.0737913486005089	0.31868131868131866	0.11983471074380166	1852	0.3704	1459	280
FP32_HOST	FP32	host	CPU	0.05	0.5	100	small	4	motorcycle	32	37	59	0.463768115942029	0.3516483516483517	0.39999999999999997	599	0.1198	530	280
FP32_HOST	FP32	host	CPU	0.05	0.75	100	small	4	motorcycle	15	39	76	0.2777777777777778	0.16483516483516483	0.20689655172413796	599	0.1198	545	280
FP32_HOST	FP32	host	CPU	0.25	0.5	100	small	4	motorcycle	13	1	78	0.9285714285714286	0.14285714285714285	0.24761904761904766	236	0.0472	222	280
FP32_HOST	FP32	host	CPU	0.25	0.75	100	small	4	motorcycle	7	2	84	0.7777777777777778	0.07692307692307693	0.13999999999999999	236	0.0472	227	280
FP32_HOST	FP32	host	CPU	0.5	0.5	100	small	4	motorcycle	3	0	88	1.0	0.03296703296703297	0.06382978723404255	153	0.0306	150	280
FP32_HOST	FP32	host	CPU	0.5	0.75	100	small	4	motorcycle	2	0	89	1.0	0.02197802197802198	0.043010752688172046	153	0.0306	151	280
FP32_HOST	FP32	host	CPU	0.001	0.5	100	all	5	airplane	139	2235	4	0.05855096882898062	0.972027972027972	0.11044894715931665	2374	0.4748	0	0
FP32_HOST	FP32	host	CPU	0.001	0.75	100	all	5	airplane	126	2248	17	0.05307497893850042	0.8811188811188811	0.100119189511323	2374	0.4748	0	0
FP32_HOST	FP32	host	CPU	0.01	0.5	100	all	5	airplane	138	347	5	0.2845360824742268	0.965034965034965	0.4394904458598727	485	0.097	0	0
FP32_HOST	FP32	host	CPU	0.01	0.75	100	all	5	airplane	121	364	22	0.24948453608247423	0.8461538461538461	0.38535031847133755	485	0.097	0	0
FP32_HOST	FP32	host	CPU	0.05	0.5	100	all	5	airplane	127	87	16	0.5934579439252337	0.8881118881118881	0.7114845938375352	214	0.0428	0	0
FP32_HOST	FP32	host	CPU	0.05	0.75	100	all	5	airplane	116	98	27	0.5420560747663551	0.8111888111888111	0.649859943977591	214	0.0428	0	0
FP32_HOST	FP32	host	CPU	0.25	0.5	100	all	5	airplane	109	16	34	0.872	0.7622377622377622	0.8134328358208954	125	0.025	0	0
FP32_HOST	FP32	host	CPU	0.25	0.75	100	all	5	airplane	101	24	42	0.808	0.7062937062937062	0.753731343283582	125	0.025	0	0
FP32_HOST	FP32	host	CPU	0.5	0.5	100	all	5	airplane	102	5	41	0.9532710280373832	0.7132867132867133	0.8160000000000001	107	0.0214	0	0
