index	block	name	op_type	inputs	outputs	output_shapes	output_dtypes	output_bytes	macs	flops_2_per_mac	mac_status
591	model.13	/model.13/m.0/m/m.0/cv1/conv/Conv	Conv	/model.13/m.0/cv1/act/Mul_output_0_DequantizeLinear_Output;model.13.m.0.m.0.cv1.conv.weight_DequantizeLinear_Output;model.13.m.0.m.0.cv1.conv.bias	/model.13/m.0/m/m.0/cv1/conv/Conv_output_0	1x32x40x40	FLOAT	204800	14745600	29491200	static
598	model.13	/model.13/m.0/m/m.0/cv2/conv/Conv	Conv	/model.13/m.0/m/m.0/cv1/act/Mul_output_0_DequantizeLinear_Output;model.13.m.0.m.0.cv2.conv.weight_DequantizeLinear_Output;model.13.m.0.m.0.cv2.conv.bias	/model.13/m.0/m/m.0/cv2/conv/Conv_output_0	1x32x40x40	FLOAT	204800	14745600	29491200	static
606	model.13	/model.13/m.0/m/m.1/cv1/conv/Conv	Conv	/model.13/m.0/m/m.0/Add_output_0_DequantizeLinear_Output;model.13.m.0.m.1.cv1.conv.weight_DequantizeLinear_Output;model.13.m.0.m.1.cv1.conv.bias	/model.13/m.0/m/m.1/cv1/conv/Conv_output_0	1x32x40x40	FLOAT	204800	14745600	29491200	static
613	model.13	/model.13/m.0/m/m.1/cv2/conv/Conv	Conv	/model.13/m.0/m/m.1/cv1/act/Mul_output_0_DequantizeLinear_Output;model.13.m.0.m.1.cv2.conv.weight_DequantizeLinear_Output;model.13.m.0.m.1.cv2.conv.bias	/model.13/m.0/m/m.1/cv2/conv/Conv_output_0	1x32x40x40	FLOAT	204800	14745600	29491200	static
622	model.13	/model.13/m.0/cv3/conv/Conv	Conv	/model.13/m.0/Concat_output_0_DequantizeLinear_Output;model.13.m.0.cv3.conv.weight_DequantizeLinear_Output;model.13.m.0.cv3.conv.bias	/model.13/m.0/cv3/conv/Conv_output_0	1x64x40x40	FLOAT	409600	6553600	13107200	static
630	model.13	/model.13/cv2/conv/Conv	Conv	/model.13/Concat_output_0_DequantizeLinear_Output;model.13.cv2.conv.weight_DequantizeLinear_Output;model.13.cv2.conv.bias	/model.13/cv2/conv/Conv_output_0	1x128x40x40	FLOAT	819200	39321600	78643200	static
639	model.16	/model.16/cv1/conv/Conv	Conv	/model.15/Concat_output_0_DequantizeLinear_Output;model.16.cv1.conv.weight_DequantizeLinear_Output;model.16.cv1.conv.bias	/model.16/cv1/conv/Conv_output_0	1x64x80x80	FLOAT	1638400	104857600	209715200	static
647	model.16	/model.16/m.0/cv1/conv/Conv	Conv	/model.16/Split_output_1_DequantizeLinear_Output;model.16.m.0.cv1.conv.weight_DequantizeLinear_Output;model.16.m.0.cv1.conv.bias	/model.16/m.0/cv1/conv/Conv_output_0	1x16x80x80	FLOAT	409600	3276800	6553600	static
648	model.16	/model.16/m.0/cv2/conv/Conv	Conv	/model.16/Split_output_1_DequantizeLinear_Output;model.16.m.0.cv2.conv.weight_DequantizeLinear_Output;model.16.m.0.cv2.conv.bias	/model.16/m.0/cv2/conv/Conv_output_0	1x16x80x80	FLOAT	409600	3276800	6553600	static
659	model.16	/model.16/m.0/m/m.0/cv1/conv/Conv	Conv	/model.16/m.0/cv1/act/Mul_output_0_DequantizeLinear_Output;model.16.m.0.m.0.cv1.conv.weight_DequantizeLinear_Output;model.16.m.0.m.0.cv1.conv.bias	/model.16/m.0/m/m.0/cv1/conv/Conv_output_0	1x16x80x80	FLOAT	409600	14745600	29491200	static
