node_index	node_name	block	live_bytes	live_tensor_count	live_all_noninitializer_bytes	live_all_noninitializer_tensor_count
89	model.16.m.0.cv1.conv.weight_DequantizeLinear	graph	1228800	1	2981040	90
90	model.16.m.0.cv2.conv.bias_DequantizeLinear	graph	1228800	1	2981104	91
91	model.16.m.0.cv2.conv.weight_DequantizeLinear	graph	1228800	1	2983152	92
92	model.16.m.0.cv3.conv.bias_DequantizeLinear	graph	1228800	1	2983280	93
93	model.16.m.0.cv3.conv.weight_DequantizeLinear	graph	1228800	1	2987376	94
94	model.16.m.0.m.0.cv1.conv.bias_DequantizeLinear	graph	1228800	1	2987440	95
95	model.16.m.0.m.0.cv1.conv.weight_DequantizeLinear	graph	1228800	1	2996656	96
96	model.16.m.0.m.0.cv2.conv.bias_DequantizeLinear	graph	1228800	1	2996720	97
97	model.16.m.0.m.0.cv2.conv.weight_DequantizeLinear	graph	1228800	1	3005936	98
98	model.16.m.0.m.1.cv1.conv.bias_DequantizeLinear	graph	1228800	1	3006000	99
99	model.16.m.0.m.1.cv1.conv.weight_DequantizeLinear	graph	1228800	1	3015216	100
100	model.16.m.0.m.1.cv2.conv.bias_DequantizeLinear	graph	1228800	1	3015280	101
101	model.16.m.0.m.1.cv2.conv.weight_DequantizeLinear	graph	1228800	1	3024496	102
102	model.17.conv.bias_DequantizeLinear	graph	1228800	1	3024752	103
103	model.17.conv.weight_DequantizeLinear	graph	1228800	1	3172208	104
104	model.19.cv1.conv.bias_DequantizeLinear	graph	1228800	1	3172720	105
105	model.19.cv1.conv.weight_DequantizeLinear	graph	1228800	1	3271024	106
106	model.19.cv2.conv.bias_DequantizeLinear	graph	1228800	1	3271536	107
107	model.19.cv2.conv.weight_DequantizeLinear	graph	1228800	1	3369840	108
108	model.19.m.0.cv1.conv.bias_DequantizeLinear	graph	1228800	1	3369968	109
109	model.19.m.0.cv1.conv.weight_DequantizeLinear	graph	1228800	1	3378160	110
110	model.19.m.0.cv2.conv.bias_DequantizeLinear	graph	1228800	1	3378288	111
111	model.19.m.0.cv2.conv.weight_DequantizeLinear	graph	1228800	1	3386480	112
112	model.19.m.0.cv3.conv.bias_DequantizeLinear	graph	1228800	1	3386736	113
113	model.19.m.0.cv3.conv.weight_DequantizeLinear	graph	1228800	1	3403120	114
114	model.19.m.0.m.0.cv1.conv.bias_DequantizeLinear	graph	1228800	1	3403248	115
115	model.19.m.0.m.0.cv1.conv.weight_DequantizeLinear	graph	1228800	1	3440112	116
116	model.19.m.0.m.0.cv2.conv.bias_DequantizeLinear	graph	1228800	1	3440240	117
117	model.19.m.0.m.0.cv2.conv.weight_DequantizeLinear	graph	1228800	1	3477104	118
118	model.19.m.0.m.1.cv1.conv.bias_DequantizeLinear	graph	1228800	1	3477232	119
119	model.19.m.0.m.1.cv1.conv.weight_DequantizeLinear	graph	1228800	1	3514096	120
120	model.19.m.0.m.1.cv2.conv.bias_DequantizeLinear	graph	1228800	1	3514224	121
121	model.19.m.0.m.1.cv2.conv.weight_DequantizeLinear	graph	1228800	1	3551088	122
122	model.2.cv1.conv.bias_DequantizeLinear	graph	1228800	1	3551216	123
123	model.2.cv1.conv.weight_DequantizeLinear	graph	1228800	1	3555312	124
124	model.2.cv2.conv.bias_DequantizeLinear	graph	1228800	1	3555568	125
125	model.2.cv2.conv.weight_DequantizeLinear	graph	1228800	1	3567856	126
126	model.2.m.0.cv1.conv.bias_DequantizeLinear	graph	1228800	1	3567888	127
127	model.2.m.0.cv1.conv.weight_DequantizeLinear	graph	1228800	1	3572496	128
128	model.2.m.0.cv2.conv.bias_DequantizeLinear	graph	1228800	1	3572560	129
129	model.2.m.0.cv2.conv.weight_DequantizeLinear	graph	1228800	1	3577168	130
130	model.20.conv.bias_DequantizeLinear	graph	1228800	1	3577680	131
131	model.20.conv.weight_DequantizeLinear	graph	1228800	1	4167504	132
132	model.22.cv1.conv.bias_DequantizeLinear	graph	1228800	1	4168528	133
133	model.22.cv1.conv.weight_DequantizeLinear	graph	1228800	1	4561744	134
134	model.22.cv2.conv.bias_DequantizeLinear	graph	1228800	1	4562768	135
135	model.22.cv2.conv.weight_DequantizeLinear	graph	1228800	1	4955984	136
136	model.22.m.0.0.cv1.conv.bias_DequantizeLinear	graph	1228800	1	4956240	137
137	model.22.m.0.0.cv1.conv.weight_DequantizeLinear	graph	1228800	1	5251152	138
138	model.22.m.0.0.cv2.conv.bias_DequantizeLinear	graph	1228800	1	5251664	139
139	model.22.m.0.0.cv2.conv.weight_DequantizeLinear	graph	1228800	1	5546576	140
140	model.22.m.0.1.attn.pe.conv.bias_DequantizeLinear	graph	1228800	1	5547088	141
141	model.22.m.0.1.attn.pe.conv.weight_DequantizeLinear	graph	1228800	1	5551696	142
142	model.22.m.0.1.attn.proj.conv.bias_DequantizeLinear	graph	1228800	1	5552208	143
143	model.22.m.0.1.attn.proj.conv.weight_DequantizeLinear	graph	1228800	1	5617744	144
144	model.22.m.0.1.attn.qkv.conv.bias_DequantizeLinear	graph	1228800	1	5618768	145
145	model.22.m.0.1.attn.qkv.conv.weight_DequantizeLinear	graph	1228800	1	5749840	146
146	model.22.m.0.1.ffn.0.conv.bias_DequantizeLinear	graph	1228800	1	5750864	147
147	model.22.m.0.1.ffn.0.conv.weight_DequantizeLinear	graph	1228800	1	5881936	148
148	model.22.m.0.1.ffn.1.conv.bias_DequantizeLinear	graph	1228800	1	5882448	149
149	model.22.m.0.1.ffn.1.conv.weight_DequantizeLinear	graph	1228800	1	6013520	150
150	model.23.one2one_cv2.0.0.conv.bias_DequantizeLinear	graph	1228800	1	6013584	151
151	model.23.one2one_cv2.0.0.conv.weight_DequantizeLinear	graph	1228800	1	6050448	152
152	model.23.one2one_cv2.0.1.conv.bias_DequantizeLinear	graph	1228800	1	6050512	153
153	model.23.one2one_cv2.0.1.conv.weight_DequantizeLinear	graph	1228800	1	6059728	154
154	model.23.one2one_cv2.0.2.bias_DequantizeLinear	graph	1228800	1	6059744	155
155	model.23.one2one_cv2.0.2.weight_DequantizeLinear	graph	1228800	1	6060000	156
156	model.23.one2one_cv2.1.0.conv.bias_DequantizeLinear	graph	1228800	1	6060064	157
157	model.23.one2one_cv2.1.0.conv.weight_DequantizeLinear	graph	1228800	1	6133792	158
158	model.23.one2one_cv2.1.1.conv.bias_DequantizeLinear	graph	1228800	1	6133856	159
159	model.23.one2one_cv2.1.1.conv.weight_DequantizeLinear	graph	1228800	1	6143072	160
160	model.23.one2one_cv2.1.2.bias_DequantizeLinear	graph	1228800	1	6143088	161
161	model.23.one2one_cv2.1.2.weight_DequantizeLinear	graph	1228800	1	6143344	162
162	model.23.one2one_cv2.2.0.conv.bias_DequantizeLinear	graph	1228800	1	6143408	163
163	model.23.one2one_cv2.2.0.conv.weight_DequantizeLinear	graph	1228800	1	6290864	164
164	model.23.one2one_cv2.2.1.conv.bias_DequantizeLinear	graph	1228800	1	6290928	165
165	model.23.one2one_cv2.2.1.conv.weight_DequantizeLinear	graph	1228800	1	6300144	166
166	model.23.one2one_cv2.2.2.bias_DequantizeLinear	graph	1228800	1	6300160	167
167	model.23.one2one_cv2.2.2.weight_DequantizeLinear	graph	1228800	1	6300416	168
168	model.23.one2one_cv3.0.0.0.conv.bias_DequantizeLinear	graph	1228800	1	6300672	169
169	model.23.one2one_cv3.0.0.0.conv.weight_DequantizeLinear	graph	1228800	1	6302976	170
170	model.23.one2one_cv3.0.0.1.conv.bias_DequantizeLinear	graph	1228800	1	6303296	171
171	model.23.one2one_cv3.0.0.1.conv.weight_DequantizeLinear	graph	1228800	1	6323776	172
172	model.23.one2one_cv3.0.1.0.conv.bias_DequantizeLinear	graph	1228800	1	6324096	173
173	model.23.one2one_cv3.0.1.0.conv.weight_DequantizeLinear	graph	1228800	1	6326976	174
174	model.23.one2one_cv3.0.1.1.conv.bias_DequantizeLinear	graph	1228800	1	6327296	175
175	model.23.one2one_cv3.0.1.1.conv.weight_DequantizeLinear	graph	1228800	1	6352896	176
176	model.23.one2one_cv3.0.2.bias_DequantizeLinear	graph	1228800	1	6353216	177
177	model.23.one2one_cv3.0.2.weight_DequantizeLinear	graph	1228800	1	6378816	178
178	model.23.one2one_cv3.1.0.0.conv.bias_DequantizeLinear	graph	1228800	1	6379328	179
179	model.23.one2one_cv3.1.0.0.conv.weight_DequantizeLinear	graph	1228800	1	6383936	180
180	model.23.one2one_cv3.1.0.1.conv.bias_DequantizeLinear	graph	1228800	1	6384256	181
181	model.23.one2one_cv3.1.0.1.conv.weight_DequantizeLinear	graph	1228800	1	6425216	182
182	model.23.one2one_cv3.1.1.0.conv.bias_DequantizeLinear	graph	1228800	1	6425536	183
183	model.23.one2one_cv3.1.1.0.conv.weight_DequantizeLinear	graph	1228800	1	6428416	184
184	model.23.one2one_cv3.1.1.1.conv.bias_DequantizeLinear	graph	1228800	1	6428736	185
185	model.23.one2one_cv3.1.1.1.conv.weight_DequantizeLinear	graph	1228800	1	6454336	186
186	model.23.one2one_cv3.1.2.bias_DequantizeLinear	graph	1228800	1	6454656	187
187	model.23.one2one_cv3.1.2.weight_DequantizeLinear	graph	1228800	1	6480256	188
188	model.23.one2one_cv3.2.0.0.conv.bias_DequantizeLinear	graph	1228800	1	6481280	189
189	model.23.one2one_cv3.2.0.0.conv.weight_DequantizeLinear	graph	1228800	1	6490496	190
190	model.23.one2one_cv3.2.0.1.conv.bias_DequantizeLinear	graph	1228800	1	6490816	191
191	model.23.one2one_cv3.2.0.1.conv.weight_DequantizeLinear	graph	1228800	1	6572736	192
192	model.23.one2one_cv3.2.1.0.conv.bias_DequantizeLinear	graph	1228800	1	6573056	193
193	model.23.one2one_cv3.2.1.0.conv.weight_DequantizeLinear	graph	1228800	1	6575936	194
194	model.23.one2one_cv3.2.1.1.conv.bias_DequantizeLinear	graph	1228800	1	6576256	195
195	model.23.one2one_cv3.2.1.1.conv.weight_DequantizeLinear	graph	1228800	1	6601856	196
196	model.23.one2one_cv3.2.2.bias_DequantizeLinear	graph	1228800	1	6602176	197
197	model.23.one2one_cv3.2.2.weight_DequantizeLinear	graph	1228800	1	6627776	198
198	model.3.conv.bias_DequantizeLinear	graph	1228800	1	6628032	199
199	model.3.conv.weight_DequantizeLinear	graph	1228800	1	6775488	200
200	model.4.cv1.conv.bias_DequantizeLinear	graph	1228800	1	6775744	201
201	model.4.cv1.conv.weight_DequantizeLinear	graph	1228800	1	6792128	202
202	model.4.cv2.conv.bias_DequantizeLinear	graph	1228800	1	6792640	203
203	model.4.cv2.conv.weight_DequantizeLinear	graph	1228800	1	6841792	204
204	model.4.m.0.cv1.conv.bias_DequantizeLinear	graph	1228800	1	6841856	205
205	model.4.m.0.cv1.conv.weight_DequantizeLinear	graph	1228800	1	6860288	206
206	model.4.m.0.cv2.conv.bias_DequantizeLinear	graph	1228800	1	6860416	207
207	model.4.m.0.cv2.conv.weight_DequantizeLinear	graph	1228800	1	6878848	208
208	model.5.conv.bias_DequantizeLinear	graph	1228800	1	6879360	209
209	model.5.conv.weight_DequantizeLinear	graph	1228800	1	7469184	210
210	model.6.cv1.conv.bias_DequantizeLinear	graph	1228800	1	7469696	211
211	model.6.cv1.conv.weight_DequantizeLinear	graph	1228800	1	7535232	212
212	model.6.cv2.conv.bias_DequantizeLinear	graph	1228800	1	7535744	213
213	model.6.cv2.conv.weight_DequantizeLinear	graph	1228800	1	7634048	214
214	model.6.m.0.cv1.conv.bias_DequantizeLinear	graph	1228800	1	7634176	215
215	model.6.m.0.cv1.conv.weight_DequantizeLinear	graph	1228800	1	7642368	216
216	model.6.m.0.cv2.conv.bias_DequantizeLinear	graph	1228800	1	7642496	217
217	model.6.m.0.cv2.conv.weight_DequantizeLinear	graph	1228800	1	7650688	218
218	model.6.m.0.cv3.conv.bias_DequantizeLinear	graph	1228800	1	7650944	219
219	model.6.m.0.cv3.conv.weight_DequantizeLinear	graph	1228800	1	7667328	220
220	model.6.m.0.m.0.cv1.conv.bias_DequantizeLinear	graph	1228800	1	7667456	221
221	model.6.m.0.m.0.cv1.conv.weight_DequantizeLinear	graph	1228800	1	7704320	222
222	model.6.m.0.m.0.cv2.conv.bias_DequantizeLinear	graph	1228800	1	7704448	223
223	model.6.m.0.m.0.cv2.conv.weight_DequantizeLinear	graph	1228800	1	7741312	224
224	model.6.m.0.m.1.cv1.conv.bias_DequantizeLinear	graph	1228800	1	7741440	225
225	model.6.m.0.m.1.cv1.conv.weight_DequantizeLinear	graph	1228800	1	7778304	226
226	model.6.m.0.m.1.cv2.conv.bias_DequantizeLinear	graph	1228800	1	7778432	227
227	model.6.m.0.m.1.cv2.conv.weight_DequantizeLinear	graph	1228800	1	7815296	228
228	model.7.conv.bias_DequantizeLinear	graph	1228800	1	7816320	229
229	model.7.conv.weight_DequantizeLinear	graph	1228800	1	8995968	230
230	model.8.cv1.conv.bias_DequantizeLinear	graph	1228800	1	8996992	231
231	model.8.cv1.conv.weight_DequantizeLinear	graph	1228800	1	9259136	232
232	model.8.cv2.conv.bias_DequantizeLinear	graph	1228800	1	9260160	233
233	model.8.cv2.conv.weight_DequantizeLinear	graph	1228800	1	9653376	234
234	model.8.m.0.cv1.conv.bias_DequantizeLinear	graph	1228800	1	9653632	235
235	model.8.m.0.cv1.conv.weight_DequantizeLinear	graph	1228800	1	9686400	236
236	model.8.m.0.cv2.conv.bias_DequantizeLinear	graph	1228800	1	9686656	237
237	model.8.m.0.cv2.conv.weight_DequantizeLinear	graph	1228800	1	9719424	238
238	model.8.m.0.cv3.conv.bias_DequantizeLinear	graph	1228800	1	9719936	239
239	model.8.m.0.cv3.conv.weight_DequantizeLinear	graph	1228800	1	9785472	240
240	model.8.m.0.m.0.cv1.conv.bias_DequantizeLinear	graph	1228800	1	9785728	241
241	model.8.m.0.m.0.cv1.conv.weight_DequantizeLinear	graph	1228800	1	9933184	242
242	model.8.m.0.m.0.cv2.conv.bias_DequantizeLinear	graph	1228800	1	9933440	243
243	model.8.m.0.m.0.cv2.conv.weight_DequantizeLinear	graph	1228800	1	10080896	244
244	model.8.m.0.m.1.cv1.conv.bias_DequantizeLinear	graph	1228800	1	10081152	245
245	model.8.m.0.m.1.cv1.conv.weight_DequantizeLinear	graph	1228800	1	10228608	246
246	model.8.m.0.m.1.cv2.conv.bias_DequantizeLinear	graph	1228800	1	10228864	247
247	model.8.m.0.m.1.cv2.conv.weight_DequantizeLinear	graph	1228800	1	10376320	248
248	model.9.cv1.conv.bias_DequantizeLinear	graph	1228800	1	10376832	249
249	model.9.cv1.conv.weight_DequantizeLinear	graph	1228800	1	10507904	250
250	model.9.cv2.conv.bias_DequantizeLinear	graph	1228800	1	10508928	251
251	model.9.cv2.conv.weight_DequantizeLinear	graph	1228800	1	11033216	252
252	/model.23/ConstantOfShape	model.23	1228824	2	11033240	253
253	/model.23/ConstantOfShape_1	model.23	1228848	3	11033256	253
254	images_DequantizeLinear	graph	6144048	4	15948448	253
255	/model.0/conv/Conv	model.0	11468848	4	21273248	253
256	/model.0/conv/Conv_output_0_QuantizeLinear	model.0	8192048	4	17994656	251
257	/model.0/conv/Conv_output_0_DequantizeLinear	model.0	8192048	4	17994656	251
258	/model.0/act/Sigmoid	model.0	13107248	4	22909856	251
259	/model.0/act/Mul	model.0	19660848	5	29463456	252
260	/model.0/act/Mul_output_0_QuantizeLinear	model.0	8192048	4	17994656	251
261	/model.0/act/Mul_output_0_DequantizeLinear	model.0	8192048	4	17994656	251
262	/model.1/conv/Conv	model.1	9830448	4	19633056	251
263	/model.1/conv/Conv_output_0_QuantizeLinear	model.1	4096048	4	13880096	249
264	/model.1/conv/Conv_output_0_DequantizeLinear	model.1	4096048	4	13880096	249
265	/model.1/act/Sigmoid	model.1	6553648	4	16337696	249
266	/model.1/act/Mul	model.1	9830448	5	19614496	250
267	/model.1/act/Mul_output_0_QuantizeLinear	model.1	4096048	4	13880096	249
268	/model.1/act/Mul_output_0_DequantizeLinear	model.1	4096048	4	13880096	249
269	/model.2/cv1/conv/Conv	model.2	6553648	4	16337696	249
270	/model.2/cv1/conv/Conv_output_0_QuantizeLinear	model.2	4096048	4	13875872	247
271	/model.2/cv1/conv/Conv_output_0_DequantizeLinear	model.2	4096048	4	13875872	247
272	/model.2/cv1/act/Sigmoid	model.2	6553648	4	16333472	247
273	/model.2/cv1/act/Mul	model.2	9830448	5	19610272	248
274	/model.2/Split	model.2	6553648	5	16333472	248
275	/model.2/Split_output_1_QuantizeLinear	model.2	3686448	5	13466256	247
276	/model.2/Split_output_1_DequantizeLinear	model.2	3686448	5	13466256	247
277	/model.2/m.0/cv1/conv/Conv	model.2	4096048	5	13875856	247
278	/model.2/m.0/cv1/conv/Conv_output_0_QuantizeLinear	model.2	4300848	6	14076016	246
279	/model.2/m.0/cv1/conv/Conv_output_0_DequantizeLinear	model.2	4300848	6	14076016	246
280	/model.2/m.0/cv1/act/Sigmoid	model.2	4915248	6	14690416	246
281	/model.2/m.0/cv1/act/Mul	model.2	5734448	7	15509616	247
282	/model.2/m.0/cv1/act/Mul_output_0_QuantizeLinear	model.2	4300848	6	14076016	246
283	/model.2/m.0/cv1/act/Mul_output_0_DequantizeLinear	model.2	4300848	6	14076016	246
284	/model.2/m.0/cv2/conv/Conv	model.2	5734448	6	15509616	246
285	/model.2/m.0/cv2/conv/Conv_output_0_QuantizeLinear	model.2	5324848	6	15095344	244
286	/model.2/m.0/cv2/conv/Conv_output_0_DequantizeLinear	model.2	5324848	6	15095344	244
287	/model.2/m.0/cv2/act/Sigmoid	model.2	6553648	6	16324144	244
288	/model.2/m.0/cv2/act/Mul	model.2	8192048	7	17962544	245
289	/model.2/m.0/Add	model.2	6553648	6	16324144	244
290	/model.2/Concat	model.2	9830448	6	19600944	244
291	/model.2/Concat_output_0_QuantizeLinear	model.2	6144048	4	15914544	242
292	/model.2/Concat_output_0_DequantizeLinear	model.2	6144048	4	15914544	242
293	/model.2/cv2/conv/Conv	model.2	11468848	4	21239344	242
294	/model.2/cv2/conv/Conv_output_0_QuantizeLinear	model.2	8192048	4	17950000	240
295	/model.2/cv2/conv/Conv_output_0_DequantizeLinear	model.2	8192048	4	17950000	240
296	/model.2/cv2/act/Sigmoid	model.2	13107248	4	22865200	240
297	/model.2/cv2/act/Mul	model.2	19660848	5	29418800	241
298	/model.2/cv2/act/Mul_output_0_QuantizeLinear	model.2	8192048	4	17950000	240
299	/model.2/cv2/act/Mul_output_0_DequantizeLinear	model.2	8192048	4	17950000	240
300	/model.3/conv/Conv	model.3	8192048	4	17950000	240
301	/model.3/conv/Conv_output_0_QuantizeLinear	model.3	2048048	4	11658288	238
302	/model.3/conv/Conv_output_0_DequantizeLinear	model.3	2048048	4	11658288	238
303	/model.3/act/Sigmoid	model.3	3276848	4	12887088	238
304	/model.3/act/Mul	model.3	4915248	5	14525488	239
305	/model.3/act/Mul_output_0_QuantizeLinear	model.3	2048048	4	11658288	238
306	/model.3/act/Mul_output_0_DequantizeLinear	model.3	2048048	4	11658288	238
307	/model.4/cv1/conv/Conv	model.4	3276848	4	12887088	238
308	/model.4/cv1/conv/Conv_output_0_QuantizeLinear	model.4	2048048	4	11641648	236
309	/model.4/cv1/conv/Conv_output_0_DequantizeLinear	model.4	2048048	4	11641648	236
310	/model.4/cv1/act/Sigmoid	model.4	3276848	4	12870448	236
311	/model.4/cv1/act/Mul	model.4	4915248	5	14508848	237
312	/model.4/Split	model.4	3276848	5	12870448	237
313	/model.4/Split_output_1_QuantizeLinear	model.4	1843248	5	11436848	237
314	/model.4/Split_output_1_DequantizeLinear	model.4	1843248	5	11436848	237
315	/model.4/m.0/cv1/conv/Conv	model.4	2048048	5	11641648	237
316	/model.4/m.0/cv1/conv/Conv_output_0_QuantizeLinear	model.4	2150448	6	11725552	236
317	/model.4/m.0/cv1/conv/Conv_output_0_DequantizeLinear	model.4	2150448	6	11725552	236
318	/model.4/m.0/cv1/act/Sigmoid	model.4	2457648	6	12032752	236
319	/model.4/m.0/cv1/act/Mul	model.4	2867248	7	12442352	237
320	/model.4/m.0/cv1/act/Mul_output_0_QuantizeLinear	model.4	2150448	6	11725552	236
321	/model.4/m.0/cv1/act/Mul_output_0_DequantizeLinear	model.4	2150448	6	11725552	236
322	/model.4/m.0/cv2/conv/Conv	model.4	2867248	6	12442352	236
323	/model.4/m.0/cv2/conv/Conv_output_0_QuantizeLinear	model.4	2662448	6	12218992	234
324	/model.4/m.0/cv2/conv/Conv_output_0_DequantizeLinear	model.4	2662448	6	12218992	234
325	/model.4/m.0/cv2/act/Sigmoid	model.4	3276848	6	12833392	234
326	/model.4/m.0/cv2/act/Mul	model.4	4096048	7	13652592	235
327	/model.4/m.0/Add	model.4	3276848	6	12833392	234
328	/model.4/Concat	model.4	4915248	6	14471792	234
329	/model.4/Concat_output_0_QuantizeLinear	model.4	3072048	4	12628592	232
330	/model.4/Concat_output_0_DequantizeLinear	model.4	3072048	4	12628592	232
331	/model.4/cv2/conv/Conv	model.4	5734448	4	15290992	232
332	/model.4/cv2/conv/Conv_output_0_QuantizeLinear	model.4	4096048	4	13602928	230
333	/model.4/cv2/conv/Conv_output_0_DequantizeLinear	model.4	4096048	4	13602928	230
334	/model.4/cv2/act/Sigmoid	model.4	6553648	4	16060528	230
335	/model.4/cv2/act/Mul	model.4	9830448	5	19337328	231
