profile	profile_sha256	name	block	op_type	provider	duration_us	thread_id
/data/ncnn-logs/ai-team/2026-07-11/2026-07-11_14-32-19__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE45-SYSTEM-ROOFLINE-VENDOR-ORT-FORENSICS-ACCURACY-AND-MODEL-CODESIGN-DECISION-001__stage45-system-roofline/board_artifacts/profiles/full_ort_only_2026-07-11_17-03-18.json	b65f1fc56e1d8a609ac1c88e7476c460d320bfb8aae800846f7311f733f3ea75	/model.2/Split_output_0_dq_kernel_time	model.2	DequantizeLinear	CPUExecutionProvider	1040.0	139228
/data/ncnn-logs/ai-team/2026-07-11/2026-07-11_14-32-19__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE45-SYSTEM-ROOFLINE-VENDOR-ORT-FORENSICS-ACCURACY-AND-MODEL-CODESIGN-DECISION-001__stage45-system-roofline/board_artifacts/profiles/full_ort_only_2026-07-11_17-03-18.json	b65f1fc56e1d8a609ac1c88e7476c460d320bfb8aae800846f7311f733f3ea75	/model.2/Split_output_1_DequantizeLinear/duplicated_token_1_kernel_time	model.2	DequantizeLinear	CPUExecutionProvider	878.0	139228
/data/ncnn-logs/ai-team/2026-07-11/2026-07-11_14-32-19__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE45-SYSTEM-ROOFLINE-VENDOR-ORT-FORENSICS-ACCURACY-AND-MODEL-CODESIGN-DECISION-001__stage45-system-roofline/board_artifacts/profiles/full_ort_only_2026-07-11_17-03-18.json	b65f1fc56e1d8a609ac1c88e7476c460d320bfb8aae800846f7311f733f3ea75	/model.2/Split_output_1_DequantizeLinear/duplicated_kernel_time	model.2	DequantizeLinear	CPUExecutionProvider	881.0	139228
/data/ncnn-logs/ai-team/2026-07-11/2026-07-11_14-32-19__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE45-SYSTEM-ROOFLINE-VENDOR-ORT-FORENSICS-ACCURACY-AND-MODEL-CODESIGN-DECISION-001__stage45-system-roofline/board_artifacts/profiles/full_ort_only_2026-07-11_17-03-18.json	b65f1fc56e1d8a609ac1c88e7476c460d320bfb8aae800846f7311f733f3ea75	/model.2/m.0/cv1/conv/Conv_token_33_kernel_time	model.2	QLinearConv	CPUExecutionProvider	5614.0	139228
/data/ncnn-logs/ai-team/2026-07-11/2026-07-11_14-32-19__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE45-SYSTEM-ROOFLINE-VENDOR-ORT-FORENSICS-ACCURACY-AND-MODEL-CODESIGN-DECISION-001__stage45-system-roofline/board_artifacts/profiles/full_ort_only_2026-07-11_17-03-18.json	b65f1fc56e1d8a609ac1c88e7476c460d320bfb8aae800846f7311f733f3ea75	/model.2/m.0/cv1/conv/Conv_output_0_DequantizeLinear/duplicated_kernel_time	model.2	DequantizeLinear	CPUExecutionProvider	606.0	139228
/data/ncnn-logs/ai-team/2026-07-11/2026-07-11_14-32-19__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE45-SYSTEM-ROOFLINE-VENDOR-ORT-FORENSICS-ACCURACY-AND-MODEL-CODESIGN-DECISION-001__stage45-system-roofline/board_artifacts/profiles/full_ort_only_2026-07-11_17-03-18.json	b65f1fc56e1d8a609ac1c88e7476c460d320bfb8aae800846f7311f733f3ea75	/model.2/m.0/cv1/conv/Conv_output_0_DequantizeLinear_kernel_time	model.2	DequantizeLinear	CPUExecutionProvider	443.0	139228
/data/ncnn-logs/ai-team/2026-07-11/2026-07-11_14-32-19__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE45-SYSTEM-ROOFLINE-VENDOR-ORT-FORENSICS-ACCURACY-AND-MODEL-CODESIGN-DECISION-001__stage45-system-roofline/board_artifacts/profiles/full_ort_only_2026-07-11_17-03-18.json	b65f1fc56e1d8a609ac1c88e7476c460d320bfb8aae800846f7311f733f3ea75	/model.2/m.0/cv1/act/Sigmoid_kernel_time	model.2	Sigmoid	CPUExecutionProvider	725.0	139228
/data/ncnn-logs/ai-team/2026-07-11/2026-07-11_14-32-19__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE45-SYSTEM-ROOFLINE-VENDOR-ORT-FORENSICS-ACCURACY-AND-MODEL-CODESIGN-DECISION-001__stage45-system-roofline/board_artifacts/profiles/full_ort_only_2026-07-11_17-03-18.json	b65f1fc56e1d8a609ac1c88e7476c460d320bfb8aae800846f7311f733f3ea75	/model.2/m.0/cv1/act/Mul_kernel_time	model.2	Mul	CPUExecutionProvider	1133.0	139228
/data/ncnn-logs/ai-team/2026-07-11/2026-07-11_14-32-19__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE45-SYSTEM-ROOFLINE-VENDOR-ORT-FORENSICS-ACCURACY-AND-MODEL-CODESIGN-DECISION-001__stage45-system-roofline/board_artifacts/profiles/full_ort_only_2026-07-11_17-03-18.json	b65f1fc56e1d8a609ac1c88e7476c460d320bfb8aae800846f7311f733f3ea75	/model.2/m.0/cv1/act/Mul_output_0_QuantizeLinear_kernel_time	model.2	QuantizeLinear	CPUExecutionProvider	614.0	139228
/data/ncnn-logs/ai-team/2026-07-11/2026-07-11_14-32-19__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE45-SYSTEM-ROOFLINE-VENDOR-ORT-FORENSICS-ACCURACY-AND-MODEL-CODESIGN-DECISION-001__stage45-system-roofline/board_artifacts/profiles/full_ort_only_2026-07-11_17-03-18.json	b65f1fc56e1d8a609ac1c88e7476c460d320bfb8aae800846f7311f733f3ea75	/model.2/m.0/cv2/conv/Conv_token_37_kernel_time	model.2	QLinearConv	CPUExecutionProvider	3840.0	139228
