variance_lane	lane	graphwise_rank	op	variable	pyramid	branch	snr	mse	cosine	q_min	q_max	f_min	f_max	f_histogram	snr_high_error	cosine_significant_deviation	source_report
Vdraw	VDRAW	158	/model.8/m.0/cv3/conv/Conv[Conv]	model.8.m.0.cv3.conv.bias[Constant]			0.0	0.0	1.0	-3.612	2.385	-3.612	2.386	238,289,0,0,0,0,323,0,306,935,867,1343,850,1020,1190,714,1258,1649,918,2958,3196,2822,3502,3536,1768,1802,289,1462,510,901,0,170	0	0	stage65b_r2_vdraw_split_s8_qdq_report.md
Vdraw	VDRAW	159	/model.8/m.0/cv3/conv/Conv[Conv]	/model.8/m.0/cv3/conv/Conv_output_0			0.0844	0.1881	0.9576	-8.911	7.555	-9.459	9.982	1,0,1,6,9,21,30,76,232,424,969,1907,3684,5393,6703,5911,4252,2631,1343,754,335,85,22,10,4,4,3,1,2,1,1,1	0	1	stage65b_r2_vdraw_split_s8_qdq_report.md
Vdraw	VDRAW	160	/model.13/m.0/cv3/conv/Conv[Conv]	model.13.m.0.cv3.conv.weight[Constant]			0.0	0.0	1.0	-0.427	0.468	-0.427	0.470	85,34,119,204,221,323,459,544,493,1802,1785,1921,2873,3213,3672,3672,3485,3145,2329,1649,935,816,306,255,187,119,68,68,0,0,0,34	0	0	stage65b_r2_vdraw_split_s8_qdq_report.md
Vdraw	VDRAW	161	/model.13/m.0/cv3/conv/Conv[Conv]	model.13.m.0.cv3.conv.bias[Constant]			0.0	0.0	1.0	-3.603	3.931	-3.603	3.929	1139,0,561,0,0,0,0,918,544,544,1105,476,2601,3502,2176,1785,3723,1173,2057,1071,1088,663,1326,748,2975,1105,918,1683,0,459,0,476	0	0	stage65b_r2_vdraw_split_s8_qdq_report.md
Vdraw	VDRAW	162	/model.13/m.0/cv3/conv/Conv[Conv]	/model.13/m.0/cv3/conv/Conv_output_0			0.084	0.1044	0.9571	-6.965	5.721	-8.306	7.475	1,0,0,0,1,2,8,13,35,85,258,637,1393,2516,3949,5437,6708,6224,4019,2160,878,312,95,44,23,10,1,2,2,1,0,2	0	1	stage65b_r2_vdraw_split_s8_qdq_report.md
Vdraw	VDRAW	163	/model.22/cv2/conv/Conv[Conv]	model.22.cv2.conv.weight[Constant]			0.0002	0.0	0.9999	-0.588	0.658	-0.585	0.661	17,17,17,0,0,17,51,17,34,68,221,289,1054,2618,11458,14552,2720,799,391,238,102,51,0,34,17,0,0,0,0,0,0,34	0	0	stage65b_r2_vdraw_split_s8_qdq_report.md
Vdraw	VDRAW	164	/model.22/cv2/conv/Conv[Conv]	model.22.cv2.conv.bias[Constant]			0.0005	0.0003	0.9998	-3.878	2.758	-3.878	2.758	34,0,0,119,136,0,136,0,204,153,170,340,374,1258,2771,5746,6426,3672,3349,2856,1802,1343,1411,561,680,119,663,221,85,0,0,187	0	0	stage65b_r2_vdraw_split_s8_qdq_report.md
Vdraw	VDRAW	165	/model.22/cv2/conv/Conv[Conv]	/model.22/cv2/conv/Conv_output_0			0.0835	0.2385	0.9574	-9.928	12.556	-20.479	13.375	1,1,2,1,2,6,5,9,13,18,29,55,70,133,227,511,1120,4180,13419,10067,2845,1212,536,241,70,19,13,3,1,4,2,1	0	1	stage65b_r2_vdraw_split_s8_qdq_report.md
Vdraw	VDRAW	166	/model.8/m.0/m/m.0/Add[Add]	/model.8/m.0/m/m.0/Add_output_0			0.0835	0.0803	0.9584	-0.543	7.995	-0.557	8.429	6890,5820,5280,4290,3157,2696,1875,1541,1085,760,493,330,207,131,58,54,28,40,29,12,16,5,4,3,3,5,1,1,0,1,0,1	0	1	stage65b_r2_vdraw_split_s8_qdq_report.md
Vdraw	VDRAW	167	/model.22/m.0/m.0.0/Add[Add]	/model.22/m.0/m.0.0/Add_output_0			0.083	0.0662	0.9584	-0.534	6.731	-0.557	6.674	13373,5647,3495,2624,2057,1619,1188,998,752,608,543,379,289,268,218,206,170,90,83,50,38,31,18,15,24,11,9,8,3,0,0,2	0	1	stage65b_r2_vdraw_split_s8_qdq_report.md
