id	name	rank	shape	dim0	dim1	dim2	dim3	logical_elements	storage_bytes	layout	scale	scale_bits	zero_point	dtype	first_op	last_op	arena_offset
29	/model.6/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output	4	1x32x40x40	1	32	40	40	51200	51200	NCHWc8_SPATIAL_INNER_V1	0.016115730628371239	0x3c840523	17	uint8	31	35	614400
30	/model.6/m.0/m/m.0/cv1/conv/Conv_output_0_QuantizeLinear_Output	4	1x32x40x40	1	32	40	40	51200	51200	NCHWc8_SPATIAL_INNER_V1	0.062696672976016998	0x3d80671d	141	uint8	32	33	3174400
31	/model.6/m.0/m/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output	4	1x32x40x40	1	32	40	40	51200	51200	NCHWc8_SPATIAL_INNER_V1	0.029125306755304337	0x3cee9832	10	uint8	33	34	665600
32	/model.6/m.0/m/m.0/cv2/conv/Conv_output_0_QuantizeLinear_Output	4	1x32x40x40	1	32	40	40	51200	51200	NCHWc8_SPATIAL_INNER_V1	0.044328935444355011	0x3d359242	146	uint8	34	35	3174400
33	/model.6/m.0/m/m.0/Add_output_0_QuantizeLinear_Output	4	1x32x40x40	1	32	40	40	51200	51200	NCHWc8_SPATIAL_INNER_V1	0.025938993319869041	0x3cd47e03	21	uint8	35	39	665600
34	/model.6/m.0/m/m.1/cv1/conv/Conv_output_0_QuantizeLinear_Output	4	1x32x40x40	1	32	40	40	51200	51200	NCHWc8_SPATIAL_INNER_V1	0.052987053990364075	0x3d5908f4	135	uint8	36	37	614400
35	/model.6/m.0/m/m.1/cv1/act/Mul_output_0_QuantizeLinear_Output	4	1x32x40x40	1	32	40	40	51200	51200	NCHWc8_SPATIAL_INNER_V1	0.026028813794255257	0x3cd53a61	11	uint8	37	38	3174400
36	/model.6/m.0/m/m.1/cv2/conv/Conv_output_0_QuantizeLinear_Output	4	1x32x40x40	1	32	40	40	51200	51200	NCHWc8_SPATIAL_INNER_V1	0.076533496379852295	0x3d9cbd98	132	uint8	38	39	614400
37	/model.6/m.0/Concat_output_0_QuantizeLinear_Output	4	1x64x40x40	1	64	40	40	102400	102400	NCHWc8_SPATIAL_INNER_V1	0.04803607240319252	0x3d44c179	17	uint8	40	41	716800
38	/model.6/m.0/cv3/conv/Conv_output_0_QuantizeLinear_Output	4	1x64x40x40	1	64	40	40	102400	102400	NCHWc8_SPATIAL_INNER_V1	0.071232005953788757	0x3d91e216	121	uint8	41	42	1433600
