tensor	name	shape	python_operator_oracle	host_scalar_vs_host_optimized	host_scalar_vs_board_scalar	host_scalar_vs_board_optimized
41	/model.6/cv2/act/Mul_output_0_QuantizeLinear_Output	1x128x40x40	operator-class-pass	pass	pass	pass
42	/model.7/conv/Conv_output_0_QuantizeLinear_Output	1x256x20x20	operator-class-pass	pass	pass	pass
43	/model.7/act/Mul_output_0_QuantizeLinear_Output	1x256x20x20	operator-class-pass	pass	pass	pass
44	/model.8/cv1/conv/Conv_output_0_QuantizeLinear_Output	1x256x20x20	operator-class-pass	pass	pass	pass
45	/model.8/Split_output_1_QuantizeLinear_Output	1x128x20x20	operator-class-pass	pass	pass	pass
46	/model.8/m.0/cv1/conv/Conv_output_0_QuantizeLinear_Output	1x64x20x20	operator-class-pass	pass	pass	pass
47	/model.8/m.0/cv2/conv/Conv_output_0_QuantizeLinear_Output	1x64x20x20	operator-class-pass	pass	pass	pass
48	/model.8/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output	1x64x20x20	operator-class-pass	pass	pass	pass
49	/model.8/m.0/m/m.0/cv1/conv/Conv_output_0_QuantizeLinear_Output	1x64x20x20	operator-class-pass	pass	pass	pass
50	/model.8/m.0/m/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output	1x64x20x20	operator-class-pass	pass	pass	pass
51	/model.8/m.0/m/m.0/cv2/conv/Conv_output_0_QuantizeLinear_Output	1x64x20x20	operator-class-pass	pass	pass	pass
52	/model.8/m.0/m/m.0/Add_output_0_QuantizeLinear_Output	1x64x20x20	operator-class-pass	pass	pass	pass
53	/model.8/m.0/m/m.1/cv1/conv/Conv_output_0_QuantizeLinear_Output	1x64x20x20	operator-class-pass	pass	pass	pass
54	/model.8/m.0/m/m.1/cv1/act/Mul_output_0_QuantizeLinear_Output	1x64x20x20	operator-class-pass	pass	pass	pass
55	/model.8/m.0/m/m.1/cv2/conv/Conv_output_0_QuantizeLinear_Output	1x64x20x20	operator-class-pass	pass	pass	pass
56	/model.8/m.0/Concat_output_0_QuantizeLinear_Output	1x128x20x20	operator-class-pass	pass	pass	pass
57	/model.8/m.0/cv3/conv/Conv_output_0_QuantizeLinear_Output	1x128x20x20	operator-class-pass	pass	pass	pass
58	/model.8/Concat_output_0_QuantizeLinear_Output	1x384x20x20	operator-class-pass	pass	pass	pass
59	/model.8/cv2/conv/Conv_output_0_QuantizeLinear_Output	1x256x20x20	operator-class-pass	pass	pass	pass
60	/model.8/cv2/act/Mul_output_0_QuantizeLinear_Output	1x256x20x20	operator-class-pass	pass	pass	pass
61	/model.9/cv1/conv/Conv_output_0_QuantizeLinear_Output	1x128x20x20	operator-class-pass	pass	pass	pass
62	/model.9/Concat_output_0_QuantizeLinear_Output	1x512x20x20	operator-class-pass	pass	pass	pass
63	/model.9/cv2/conv/Conv_output_0_QuantizeLinear_Output	1x256x20x20	operator-class-pass	pass	pass	pass
64	/model.9/Add_output_0_QuantizeLinear_Output	1x256x20x20	operator-class-pass	pass	pass	pass
65	/model.10/cv1/conv/Conv_output_0_QuantizeLinear_Output	1x256x20x20	operator-class-pass	pass	pass	pass
66	/model.10/Split_output_1_QuantizeLinear_Output	1x128x20x20	operator-class-pass	pass	pass	pass
67	/model.10/m/m.0/attn/qkv/conv/Conv_output_0_QuantizeLinear_Output	1x256x20x20	operator-class-pass	pass	pass	pass
68	/model.10/m/m.0/attn/Split_output_1_QuantizeLinear_Output	1x2x32x400	operator-class-pass	pass	pass	pass
69	/model.10/m/m.0/attn/Split_output_2_QuantizeLinear_Output	1x2x64x400	operator-class-pass	pass	pass	pass
70	/model.10/m/m.0/attn/Transpose_output_0_QuantizeLinear_Output	1x2x400x32	operator-class-pass	pass	pass	pass
71	/model.10/m/m.0/attn/Reshape_2_output_0_QuantizeLinear_Output	1x128x20x20	operator-class-pass	pass	pass	pass
72	/model.10/m/m.0/attn/MatMul_output_0_QuantizeLinear_Output	1x2x400x400	operator-class-pass	pass	pass	pass
73	/model.10/m/m.0/attn/pe/conv/Conv_output_0_QuantizeLinear_Output	1x128x20x20	operator-class-pass	pass	pass	pass
74	/model.10/m/m.0/attn/Transpose_1_output_0_QuantizeLinear_Output	1x2x400x400	operator-class-pass	pass	pass	pass
75	/model.10/m/m.0/attn/MatMul_1_output_0_QuantizeLinear_Output	1x2x64x400	operator-class-pass	pass	pass	pass
76	/model.10/m/m.0/attn/Add_output_0_QuantizeLinear_Output	1x128x20x20	operator-class-pass	pass	pass	pass
77	/model.10/m/m.0/attn/proj/conv/Conv_output_0_QuantizeLinear_Output	1x128x20x20	operator-class-pass	pass	pass	pass
78	/model.10/m/m.0/Add_output_0_QuantizeLinear_Output	1x128x20x20	operator-class-pass	pass	pass	pass
79	/model.10/m/m.0/ffn/ffn.0/conv/Conv_output_0_QuantizeLinear_Output	1x256x20x20	operator-class-pass	pass	pass	pass
80	/model.10/m/m.0/ffn/ffn.0/act/Mul_output_0_QuantizeLinear_Output	1x256x20x20	operator-class-pass	pass	pass	pass
81	/model.10/m/m.0/ffn/ffn.1/conv/Conv_output_0_QuantizeLinear_Output	1x128x20x20	operator-class-pass	pass	pass	pass
82	/model.10/Concat_output_0_QuantizeLinear_Output	1x256x20x20	operator-class-pass	pass	pass	pass
83	/model.10/cv2/conv/Conv_output_0_QuantizeLinear_Output	1x256x20x20	operator-class-pass	pass	pass	pass
84	/model.12/Concat_output_0_QuantizeLinear_Output	1x384x40x40	operator-class-pass	pass	pass	pass
85	/model.13/cv1/conv/Conv_output_0_QuantizeLinear_Output	1x128x40x40	operator-class-pass	pass	pass	pass
86	/model.13/Split_output_1_QuantizeLinear_Output	1x64x40x40	operator-class-pass	pass	pass	pass
87	/model.13/m.0/cv1/conv/Conv_output_0_QuantizeLinear_Output	1x32x40x40	operator-class-pass	pass	pass	pass
88	/model.13/m.0/cv2/conv/Conv_output_0_QuantizeLinear_Output	1x32x40x40	operator-class-pass	pass	pass	pass
89	/model.13/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output	1x32x40x40	operator-class-pass	pass	pass	pass
90	/model.13/m.0/m/m.0/cv1/conv/Conv_output_0_QuantizeLinear_Output	1x32x40x40	operator-class-pass	pass	pass	pass
91	/model.13/m.0/m/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output	1x32x40x40	operator-class-pass	pass	pass	pass
92	/model.13/m.0/m/m.0/cv2/conv/Conv_output_0_QuantizeLinear_Output	1x32x40x40	operator-class-pass	pass	pass	pass
93	/model.13/m.0/m/m.0/Add_output_0_QuantizeLinear_Output	1x32x40x40	operator-class-pass	pass	pass	pass
94	/model.13/m.0/m/m.1/cv1/conv/Conv_output_0_QuantizeLinear_Output	1x32x40x40	operator-class-pass	pass	pass	pass
95	/model.13/m.0/m/m.1/cv1/act/Mul_output_0_QuantizeLinear_Output	1x32x40x40	operator-class-pass	pass	pass	pass
96	/model.13/m.0/m/m.1/cv2/conv/Conv_output_0_QuantizeLinear_Output	1x32x40x40	operator-class-pass	pass	pass	pass
97	/model.13/m.0/Concat_output_0_QuantizeLinear_Output	1x64x40x40	operator-class-pass	pass	pass	pass
98	/model.13/m.0/cv3/conv/Conv_output_0_QuantizeLinear_Output	1x64x40x40	operator-class-pass	pass	pass	pass
99	/model.13/Concat_output_0_QuantizeLinear_Output	1x192x40x40	operator-class-pass	pass	pass	pass
100	/model.13/cv2/conv/Conv_output_0_QuantizeLinear_Output	1x128x40x40	operator-class-pass	pass	pass	pass
101	/model.15/Concat_output_0_QuantizeLinear_Output	1x256x80x80	operator-class-pass	pass	pass	pass
102	/model.16/cv1/conv/Conv_output_0_QuantizeLinear_Output	1x64x80x80	operator-class-pass	pass	pass	pass
103	/model.16/Split_output_1_QuantizeLinear_Output	1x32x80x80	operator-class-pass	pass	pass	pass
104	/model.16/m.0/cv1/conv/Conv_output_0_QuantizeLinear_Output	1x16x80x80	operator-class-pass	pass	pass	pass
105	/model.16/m.0/cv2/conv/Conv_output_0_QuantizeLinear_Output	1x16x80x80	operator-class-pass	pass	pass	pass
106	/model.16/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output	1x16x80x80	operator-class-pass	pass	pass	pass
107	/model.16/m.0/m/m.0/cv1/conv/Conv_output_0_QuantizeLinear_Output	1x16x80x80	operator-class-pass	pass	pass	pass
108	/model.16/m.0/m/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output	1x16x80x80	operator-class-pass	pass	pass	pass
109	/model.16/m.0/m/m.0/cv2/conv/Conv_output_0_QuantizeLinear_Output	1x16x80x80	operator-class-pass	pass	pass	pass
110	/model.16/m.0/m/m.0/Add_output_0_QuantizeLinear_Output	1x16x80x80	operator-class-pass	pass	pass	pass
111	/model.16/m.0/m/m.1/cv1/conv/Conv_output_0_QuantizeLinear_Output	1x16x80x80	operator-class-pass	pass	pass	pass
112	/model.16/m.0/m/m.1/cv1/act/Mul_output_0_QuantizeLinear_Output	1x16x80x80	operator-class-pass	pass	pass	pass
113	/model.16/m.0/m/m.1/cv2/conv/Conv_output_0_QuantizeLinear_Output	1x16x80x80	operator-class-pass	pass	pass	pass
114	/model.16/m.0/Concat_output_0_QuantizeLinear_Output	1x32x80x80	operator-class-pass	pass	pass	pass
115	/model.16/m.0/cv3/conv/Conv_output_0_QuantizeLinear_Output	1x32x80x80	operator-class-pass	pass	pass	pass
116	/model.16/Concat_output_0_QuantizeLinear_Output	1x96x80x80	operator-class-pass	pass	pass	pass
117	/model.16/cv2/conv/Conv_output_0_QuantizeLinear_Output	1x64x80x80	operator-class-pass	pass	pass	pass
118	/model.16/cv2/act/Mul_output_0_QuantizeLinear_Output	1x64x80x80	operator-class-pass	pass	pass	pass
119	/model.17/conv/Conv_output_0_QuantizeLinear_Output	1x64x40x40	operator-class-pass	pass	pass	pass
120	/model.23/one2one_cv2.0/one2one_cv2.0.0/conv/Conv_output_0_QuantizeLinear_Output	1x16x80x80	operator-class-pass	pass	pass	pass
121	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0/conv/Conv_output_0_QuantizeLinear_Output	1x64x80x80	operator-class-pass	pass	pass	pass
122	/model.23/one2one_cv2.0/one2one_cv2.0.0/act/Mul_output_0_QuantizeLinear_Output	1x16x80x80	operator-class-pass	pass	pass	pass
123	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0/act/Mul_output_0_QuantizeLinear_Output	1x64x80x80	operator-class-pass	pass	pass	pass
124	/model.18/Concat_output_0_QuantizeLinear_Output	1x192x40x40	operator-class-pass	pass	pass	pass
125	/model.23/one2one_cv2.0/one2one_cv2.0.1/conv/Conv_output_0_QuantizeLinear_Output	1x16x80x80	operator-class-pass	pass	pass	pass
126	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1/conv/Conv_output_0_QuantizeLinear_Output	1x80x80x80	operator-class-pass	pass	pass	pass
127	/model.19/cv1/conv/Conv_output_0_QuantizeLinear_Output	1x128x40x40	operator-class-pass	pass	pass	pass
128	/model.23/one2one_cv2.0/one2one_cv2.0.1/act/Mul_output_0_QuantizeLinear_Output	1x16x80x80	operator-class-pass	pass	pass	pass
129	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1/act/Mul_output_0_QuantizeLinear_Output	1x80x80x80	operator-class-pass	pass	pass	pass
130	/model.19/Split_output_1_QuantizeLinear_Output	1x64x40x40	operator-class-pass	pass	pass	pass
131	/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv_output_0_QuantizeLinear_Output	1x4x80x80	operator-class-pass	pass	pass	pass
132	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.0/conv/Conv_output_0_QuantizeLinear_Output	1x80x80x80	operator-class-pass	pass	pass	pass
133	/model.19/m.0/cv1/conv/Conv_output_0_QuantizeLinear_Output	1x32x40x40	operator-class-pass	pass	pass	pass
134	/model.19/m.0/cv2/conv/Conv_output_0_QuantizeLinear_Output	1x32x40x40	operator-class-pass	pass	pass	pass
135	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.0/act/Mul_output_0_QuantizeLinear_Output	1x80x80x80	operator-class-pass	pass	pass	pass
136	/model.19/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output	1x32x40x40	operator-class-pass	pass	pass	pass
137	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/conv/Conv_output_0_QuantizeLinear_Output	1x80x80x80	operator-class-pass	pass	pass	pass
138	/model.19/m.0/m/m.0/cv1/conv/Conv_output_0_QuantizeLinear_Output	1x32x40x40	operator-class-pass	pass	pass	pass
139	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/act/Mul_output_0_QuantizeLinear_Output	1x80x80x80	operator-class-pass	pass	pass	pass
140	/model.19/m.0/m/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output	1x32x40x40	operator-class-pass	pass	pass	pass
141	/model.23/one2one_cv3.0/one2one_cv3.0.2/Conv_output_0_QuantizeLinear_Output	1x80x80x80	operator-class-pass	pass	pass	pass
142	/model.19/m.0/m/m.0/cv2/conv/Conv_output_0_QuantizeLinear_Output	1x32x40x40	operator-class-pass	pass	pass	pass
143	/model.19/m.0/m/m.0/Add_output_0_QuantizeLinear_Output	1x32x40x40	operator-class-pass	pass	pass	pass
144	/model.19/m.0/m/m.1/cv1/conv/Conv_output_0_QuantizeLinear_Output	1x32x40x40	operator-class-pass	pass	pass	pass
145	/model.19/m.0/m/m.1/cv1/act/Mul_output_0_QuantizeLinear_Output	1x32x40x40	operator-class-pass	pass	pass	pass
146	/model.19/m.0/m/m.1/cv2/conv/Conv_output_0_QuantizeLinear_Output	1x32x40x40	operator-class-pass	pass	pass	pass
147	/model.19/m.0/Concat_output_0_QuantizeLinear_Output	1x64x40x40	operator-class-pass	pass	pass	pass
148	/model.19/m.0/cv3/conv/Conv_output_0_QuantizeLinear_Output	1x64x40x40	operator-class-pass	pass	pass	pass
149	/model.19/Concat_output_0_QuantizeLinear_Output	1x192x40x40	operator-class-pass	pass	pass	pass
150	/model.19/cv2/conv/Conv_output_0_QuantizeLinear_Output	1x128x40x40	operator-class-pass	pass	pass	pass
151	/model.19/cv2/act/Mul_output_0_QuantizeLinear_Output	1x128x40x40	operator-class-pass	pass	pass	pass
152	/model.20/conv/Conv_output_0_QuantizeLinear_Output	1x128x20x20	operator-class-pass	pass	pass	pass
153	/model.23/one2one_cv2.1/one2one_cv2.1.0/conv/Conv_output_0_QuantizeLinear_Output	1x16x40x40	operator-class-pass	pass	pass	pass
154	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.0/conv/Conv_output_0_QuantizeLinear_Output	1x128x40x40	operator-class-pass	pass	pass	pass
155	/model.23/one2one_cv2.1/one2one_cv2.1.0/act/Mul_output_0_QuantizeLinear_Output	1x16x40x40	operator-class-pass	pass	pass	pass
156	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.0/act/Mul_output_0_QuantizeLinear_Output	1x128x40x40	operator-class-pass	pass	pass	pass
157	/model.21/Concat_output_0_QuantizeLinear_Output	1x384x20x20	operator-class-pass	pass	pass	pass
158	/model.23/one2one_cv2.1/one2one_cv2.1.1/conv/Conv_output_0_QuantizeLinear_Output	1x16x40x40	operator-class-pass	pass	pass	pass
159	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.1/conv/Conv_output_0_QuantizeLinear_Output	1x80x40x40	operator-class-pass	pass	pass	pass
160	/model.22/cv1/conv/Conv_output_0_QuantizeLinear_Output	1x256x20x20	operator-class-pass	pass	pass	pass
161	/model.23/one2one_cv2.1/one2one_cv2.1.1/act/Mul_output_0_QuantizeLinear_Output	1x16x40x40	operator-class-pass	pass	pass	pass
162	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.1/act/Mul_output_0_QuantizeLinear_Output	1x80x40x40	operator-class-pass	pass	pass	pass
163	/model.22/Split_output_1_QuantizeLinear_Output	1x128x20x20	operator-class-pass	pass	pass	pass
164	/model.23/one2one_cv2.1/one2one_cv2.1.2/Conv_output_0_QuantizeLinear_Output	1x4x40x40	operator-class-pass	pass	pass	pass
165	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.0/conv/Conv_output_0_QuantizeLinear_Output	1x80x40x40	operator-class-pass	pass	pass	pass
166	/model.22/m.0/m.0.0/cv1/conv/Conv_output_0_QuantizeLinear_Output	1x64x20x20	operator-class-pass	pass	pass	pass
167	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.0/act/Mul_output_0_QuantizeLinear_Output	1x80x40x40	operator-class-pass	pass	pass	pass
168	/model.22/m.0/m.0.0/cv1/act/Mul_output_0_QuantizeLinear_Output	1x64x20x20	operator-class-pass	pass	pass	pass
169	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/conv/Conv_output_0_QuantizeLinear_Output	1x80x40x40	operator-class-pass	pass	pass	pass
170	/model.22/m.0/m.0.0/cv2/conv/Conv_output_0_QuantizeLinear_Output	1x128x20x20	operator-class-pass	pass	pass	pass
171	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/act/Mul_output_0_QuantizeLinear_Output	1x80x40x40	operator-class-pass	pass	pass	pass
172	/model.22/m.0/m.0.0/Add_output_0_QuantizeLinear_Output	1x128x20x20	operator-class-pass	pass	pass	pass
173	/model.23/one2one_cv3.1/one2one_cv3.1.2/Conv_output_0_QuantizeLinear_Output	1x80x40x40	operator-class-pass	pass	pass	pass
174	/model.22/m.0/m.0.1/attn/qkv/conv/Conv_output_0_QuantizeLinear_Output	1x256x20x20	operator-class-pass	pass	pass	pass
175	/model.22/m.0/m.0.1/attn/Split_output_1_QuantizeLinear_Output	1x2x32x400	operator-class-pass	pass	pass	pass
176	/model.22/m.0/m.0.1/attn/Split_output_2_QuantizeLinear_Output	1x2x64x400	operator-class-pass	pass	pass	pass
177	/model.22/m.0/m.0.1/attn/Transpose_output_0_QuantizeLinear_Output	1x2x400x32	operator-class-pass	pass	pass	pass
178	/model.22/m.0/m.0.1/attn/Reshape_2_output_0_QuantizeLinear_Output	1x128x20x20	operator-class-pass	pass	pass	pass
179	/model.22/m.0/m.0.1/attn/MatMul_output_0_QuantizeLinear_Output	1x2x400x400	operator-class-pass	pass	pass	pass
180	/model.22/m.0/m.0.1/attn/pe/conv/Conv_output_0_QuantizeLinear_Output	1x128x20x20	operator-class-pass	pass	pass	pass
181	/model.22/m.0/m.0.1/attn/Transpose_1_output_0_QuantizeLinear_Output	1x2x400x400	operator-class-pass	pass	pass	pass
182	/model.22/m.0/m.0.1/attn/MatMul_1_output_0_QuantizeLinear_Output	1x2x64x400	operator-class-pass	pass	pass	pass
183	/model.22/m.0/m.0.1/attn/Add_output_0_QuantizeLinear_Output	1x128x20x20	operator-class-pass	pass	pass	pass
184	/model.22/m.0/m.0.1/attn/proj/conv/Conv_output_0_QuantizeLinear_Output	1x128x20x20	operator-class-pass	pass	pass	pass
185	/model.22/m.0/m.0.1/Add_output_0_QuantizeLinear_Output	1x128x20x20	operator-class-pass	pass	pass	pass
186	/model.22/m.0/m.0.1/ffn/ffn.0/conv/Conv_output_0_QuantizeLinear_Output	1x256x20x20	operator-class-pass	pass	pass	pass
187	/model.22/m.0/m.0.1/ffn/ffn.0/act/Mul_output_0_QuantizeLinear_Output	1x256x20x20	operator-class-pass	pass	pass	pass
188	/model.22/m.0/m.0.1/ffn/ffn.1/conv/Conv_output_0_QuantizeLinear_Output	1x128x20x20	operator-class-pass	pass	pass	pass
189	/model.22/Concat_output_0_QuantizeLinear_Output	1x384x20x20	operator-class-pass	pass	pass	pass
190	/model.22/cv2/conv/Conv_output_0_QuantizeLinear_Output	1x256x20x20	operator-class-pass	pass	pass	pass
191	/model.22/cv2/act/Mul_output_0_QuantizeLinear_Output	1x256x20x20	operator-class-pass	pass	pass	pass
192	/model.23/one2one_cv2.2/one2one_cv2.2.0/conv/Conv_output_0_QuantizeLinear_Output	1x16x20x20	operator-class-pass	pass	pass	pass
193	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.0/conv/Conv_output_0_QuantizeLinear_Output	1x256x20x20	operator-class-pass	pass	pass	pass
194	/model.23/one2one_cv2.2/one2one_cv2.2.0/act/Mul_output_0_QuantizeLinear_Output	1x16x20x20	operator-class-pass	pass	pass	pass
195	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.0/act/Mul_output_0_QuantizeLinear_Output	1x256x20x20	operator-class-pass	pass	pass	pass
196	/model.23/one2one_cv2.2/one2one_cv2.2.1/conv/Conv_output_0_QuantizeLinear_Output	1x16x20x20	operator-class-pass	pass	pass	pass
197	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.1/conv/Conv_output_0_QuantizeLinear_Output	1x80x20x20	operator-class-pass	pass	pass	pass
198	/model.23/one2one_cv2.2/one2one_cv2.2.1/act/Mul_output_0_QuantizeLinear_Output	1x16x20x20	operator-class-pass	pass	pass	pass
199	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.1/act/Mul_output_0_QuantizeLinear_Output	1x80x20x20	operator-class-pass	pass	pass	pass
200	/model.23/one2one_cv2.2/one2one_cv2.2.2/Conv_output_0_QuantizeLinear_Output	1x4x20x20	operator-class-pass	pass	pass	pass
201	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.0/conv/Conv_output_0_QuantizeLinear_Output	1x80x20x20	operator-class-pass	pass	pass	pass
202	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.0/act/Mul_output_0_QuantizeLinear_Output	1x80x20x20	operator-class-pass	pass	pass	pass
203	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1/conv/Conv_output_0_QuantizeLinear_Output	1x80x20x20	operator-class-pass	pass	pass	pass
204	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1/act/Mul_output_0_QuantizeLinear_Output	1x80x20x20	operator-class-pass	pass	pass	pass
205	/model.23/one2one_cv3.2/one2one_cv3.2.2/Conv_output_0_QuantizeLinear_Output	1x80x20x20	operator-class-pass	pass	pass	pass
206	__stage52_internal_model.2__m.0__Add_output_0_at_model.2__Concat_output_0_QuantizeLinear_Output	1x16x160x160	operator-class-pass	pass	pass	pass
207	__stage52_internal_model.4__m.0__Add_output_0_at_model.4__Concat_output_0_QuantizeLinear_Output	1x32x80x80	operator-class-pass	pass	pass	pass
208	__stage52_internal_model.6__m.0__m__m.1__Add_output_0_at_model.6__m.0__Concat_output_0_QuantizeLinear_Output	1x32x40x40	operator-class-pass	pass	pass	pass
