index	observation	kind	name	model	wall_us	measurement
130	3	lut1	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0/act/Mul_output_0_QuantizeLinear	23	256.709	single instrumented diagnostic
132	3	conv_dense	/model.23/one2one_cv2.0/one2one_cv2.0.1/conv/Conv	23	1174.964	single instrumented diagnostic
133	3	conv_dense	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1/conv/Conv	23	4128.644	single instrumented diagnostic
135	3	lut1	/model.23/one2one_cv2.0/one2one_cv2.0.1/act/Mul_output_0_QuantizeLinear	23	141.667	single instrumented diagnostic
136	3	lut1	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1/act/Mul_output_0_QuantizeLinear	23	306.502	single instrumented diagnostic
138	3	conv_dense	/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv	23	289.627	single instrumented diagnostic
139	3	conv_grouped	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.0/conv/Conv	23	34043.867	single instrumented diagnostic
142	3	lut1	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.0/act/Mul_output_0_QuantizeLinear	23	331.46	single instrumented diagnostic
144	3	conv_dense	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/conv/Conv	23	4133.311	single instrumented diagnostic
146	3	lut1	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/act/Mul_output_0_QuantizeLinear	23	333.543	single instrumented diagnostic
148	3	conv_dense	/model.23/one2one_cv3.0/one2one_cv3.0.2/Conv	23	4201.853	single instrumented diagnostic
161	3	conv_dense	/model.23/one2one_cv2.1/one2one_cv2.1.0/conv/Conv	23	1388.423	single instrumented diagnostic
162	3	conv_grouped	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.0/conv/Conv	23	13538.939	single instrumented diagnostic
163	3	lut1	/model.23/one2one_cv2.1/one2one_cv2.1.0/act/Mul_output_0_QuantizeLinear	23	77.958	single instrumented diagnostic
164	3	lut1	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.0/act/Mul_output_0_QuantizeLinear	23	126.5	single instrumented diagnostic
166	3	conv_dense	/model.23/one2one_cv2.1/one2one_cv2.1.1/conv/Conv	23	346.418	single instrumented diagnostic
167	3	conv_dense	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.1/conv/Conv	23	1256.672	single instrumented diagnostic
