index	observation	kind	name	model	wall_us	measurement
21	1	lut2	/model.4/m.0/Add_output_0@/model.4/Concat_output_0_QuantizeLinear_Output	4	8153.455	single instrumented diagnostic
22	1	concat	/model.4/Concat	4	527.002	single instrumented diagnostic
23	1	conv_dense	/model.4/cv2/conv/Conv	4	6545.947	single instrumented diagnostic
0	2	input_quant	images_QuantizeLinear	-1	32870.987	single instrumented diagnostic
1	2	conv_dense	/model.0/conv/Conv	0	14065.482	single instrumented diagnostic
2	2	lut1	/model.0/act/Mul_output_0_QuantizeLinear	0	908.713	single instrumented diagnostic
3	2	conv_dense	/model.1/conv/Conv	1	7911.662	single instrumented diagnostic
4	2	lut1	/model.1/act/Mul_output_0_QuantizeLinear	1	532.127	single instrumented diagnostic
5	2	conv_dense	/model.2/cv1/conv/Conv	2	5800.693	single instrumented diagnostic
6	2	split	/model.2/Split	2	285.168	single instrumented diagnostic
7	2	conv_dense	/model.2/m.0/cv1/conv/Conv	2	3121.931	single instrumented diagnostic
8	2	lut1	/model.2/m.0/cv1/act/Mul_output_0_QuantizeLinear	2	180.417	single instrumented diagnostic
9	2	conv_dense	/model.2/m.0/cv2/conv/Conv	2	3508.558	single instrumented diagnostic
10	2	lut2	/model.2/m.0/Add_output_0@/model.2/Concat_output_0_QuantizeLinear_Output	2	16133.534	single instrumented diagnostic
11	2	concat	/model.2/Concat	2	857.754	single instrumented diagnostic
12	2	conv_dense	/model.2/cv2/conv/Conv	2	12191.057	single instrumented diagnostic
13	2	lut1	/model.2/cv2/act/Mul_output_0_QuantizeLinear	2	969.755	single instrumented diagnostic
14	2	conv_dense	/model.3/conv/Conv	3	7023.491	single instrumented diagnostic
15	2	lut1	/model.3/act/Mul_output_0_QuantizeLinear	3	401.002	single instrumented diagnostic
16	2	conv_dense	/model.4/cv1/conv/Conv	4	3270.515	single instrumented diagnostic
17	2	split	/model.4/Split	4	205.959	single instrumented diagnostic
18	2	conv_dense	/model.4/m.0/cv1/conv/Conv	4	1678.216	single instrumented diagnostic
19	2	lut1	/model.4/m.0/cv1/act/Mul_output_0_QuantizeLinear	4	133.542	single instrumented diagnostic
20	2	conv_dense	/model.4/m.0/cv2/conv/Conv	4	1888.842	single instrumented diagnostic
21	2	lut2	/model.4/m.0/Add_output_0@/model.4/Concat_output_0_QuantizeLinear_Output	4	8143.663	single instrumented diagnostic
22	2	concat	/model.4/Concat	4	545.42	single instrumented diagnostic
23	2	conv_dense	/model.4/cv2/conv/Conv	4	6529.572	single instrumented diagnostic
0	3	input_quant	images_QuantizeLinear	-1	32920.321	single instrumented diagnostic
1	3	conv_dense	/model.0/conv/Conv	0	14062.399	single instrumented diagnostic
2	3	lut1	/model.0/act/Mul_output_0_QuantizeLinear	0	848.004	single instrumented diagnostic
3	3	conv_dense	/model.1/conv/Conv	1	7925.329	single instrumented diagnostic
4	3	lut1	/model.1/act/Mul_output_0_QuantizeLinear	1	499.544	single instrumented diagnostic
5	3	conv_dense	/model.2/cv1/conv/Conv	2	5757.694	single instrumented diagnostic
6	3	split	/model.2/Split	2	310.21	single instrumented diagnostic
7	3	conv_dense	/model.2/m.0/cv1/conv/Conv	2	3118.515	single instrumented diagnostic
8	3	lut1	/model.2/m.0/cv1/act/Mul_output_0_QuantizeLinear	2	189.209	single instrumented diagnostic
9	3	conv_dense	/model.2/m.0/cv2/conv/Conv	2	3488.517	single instrumented diagnostic
10	3	lut2	/model.2/m.0/Add_output_0@/model.2/Concat_output_0_QuantizeLinear_Output	2	16034.492	single instrumented diagnostic
11	3	concat	/model.2/Concat	2	892.421	single instrumented diagnostic
12	3	conv_dense	/model.2/cv2/conv/Conv	2	12262.724	single instrumented diagnostic
13	3	lut1	/model.2/cv2/act/Mul_output_0_QuantizeLinear	2	930.837	single instrumented diagnostic
14	3	conv_dense	/model.3/conv/Conv	3	7032.366	single instrumented diagnostic
15	3	lut1	/model.3/act/Mul_output_0_QuantizeLinear	3	294.043	single instrumented diagnostic
16	3	conv_dense	/model.4/cv1/conv/Conv	4	3239.765	single instrumented diagnostic
17	3	split	/model.4/Split	4	226.127	single instrumented diagnostic
18	3	conv_dense	/model.4/m.0/cv1/conv/Conv	4	1646.883	single instrumented diagnostic
19	3	lut1	/model.4/m.0/cv1/act/Mul_output_0_QuantizeLinear	4	113.417	single instrumented diagnostic
20	3	conv_dense	/model.4/m.0/cv2/conv/Conv	4	1848.008	single instrumented diagnostic
21	3	lut2	/model.4/m.0/Add_output_0@/model.4/Concat_output_0_QuantizeLinear_Output	4	8138.246	single instrumented diagnostic
22	3	concat	/model.4/Concat	4	545.044	single instrumented diagnostic
23	3	conv_dense	/model.4/cv2/conv/Conv	4	6524.031	single instrumented diagnostic
0	4	input_quant	images_QuantizeLinear	-1	32985.238	single instrumented diagnostic
1	4	conv_dense	/model.0/conv/Conv	0	14028.399	single instrumented diagnostic
2	4	lut1	/model.0/act/Mul_output_0_QuantizeLinear	0	914.046	single instrumented diagnostic
3	4	conv_dense	/model.1/conv/Conv	1	7877.828	single instrumented diagnostic
4	4	lut1	/model.1/act/Mul_output_0_QuantizeLinear	1	508.294	single instrumented diagnostic
5	4	conv_dense	/model.2/cv1/conv/Conv	2	5784.236	single instrumented diagnostic
6	4	split	/model.2/Split	2	300.084	single instrumented diagnostic
7	4	conv_dense	/model.2/m.0/cv1/conv/Conv	2	3133.139	single instrumented diagnostic
8	4	lut1	/model.2/m.0/cv1/act/Mul_output_0_QuantizeLinear	2	190.96	single instrumented diagnostic
9	4	conv_dense	/model.2/m.0/cv2/conv/Conv	2	3501.433	single instrumented diagnostic
10	4	lut2	/model.2/m.0/Add_output_0@/model.2/Concat_output_0_QuantizeLinear_Output	2	15953.325	single instrumented diagnostic
11	4	concat	/model.2/Concat	2	864.754	single instrumented diagnostic
12	4	conv_dense	/model.2/cv2/conv/Conv	2	12370.933	single instrumented diagnostic
13	4	lut1	/model.2/cv2/act/Mul_output_0_QuantizeLinear	2	943.755	single instrumented diagnostic
14	4	conv_dense	/model.3/conv/Conv	3	7021.282	single instrumented diagnostic
15	4	lut1	/model.3/act/Mul_output_0_QuantizeLinear	3	303.085	single instrumented diagnostic
16	4	conv_dense	/model.4/cv1/conv/Conv	4	3256.849	single instrumented diagnostic
17	4	split	/model.4/Split	4	178.209	single instrumented diagnostic
18	4	conv_dense	/model.4/m.0/cv1/conv/Conv	4	1695.299	single instrumented diagnostic
19	4	lut1	/model.4/m.0/cv1/act/Mul_output_0_QuantizeLinear	4	139.125	single instrumented diagnostic
20	4	conv_dense	/model.4/m.0/cv2/conv/Conv	4	1884.092	single instrumented diagnostic
21	4	lut2	/model.4/m.0/Add_output_0@/model.4/Concat_output_0_QuantizeLinear_Output	4	8136.122	single instrumented diagnostic
22	4	concat	/model.4/Concat	4	562.544	single instrumented diagnostic
23	4	conv_dense	/model.4/cv2/conv/Conv	4	6548.697	single instrumented diagnostic
